Player,Nation,Pos,Squad,passing_Age,passing_Born,passing_90s,passing_Total_Cmp,passing_Total_Att,passing_Total_Cmp%,passing_Total_TotDist,passing_Total_PrgDist,passing_Short_Cmp,passing_Short_Att,passing_Short_Cmp%,passing_Medium_Cmp,passing_Medium_Att,passing_Medium_Cmp%,passing_Long_Cmp,passing_Long_Att,passing_Long_Cmp%,passing_Ast,passing_xAG,passing_Expected_xA,passing_Expected_A-xAG,passing_KP,passing_1/3,passing_PPA,passing_CrsPA,passing_PrgP,passing_Matches
Marc Cucurella,es ESP,DF,Chelsea,26-263,1998,26.2,1359,1543,88.1,21166,5932,689,730,94.4,590,657,89.8,52,94,55.3,1,1.7,2.0,-0.7,15,100,10,3,91,Matches
Jorge Cuenca,es ESP,DF,Fulham,25-145,1999,2.9,102,122,83.6,1768,637,34,38,89.5,60,68,88.2,6,14,42.9,0,0.0,0.0,0.0,0,7,0,0,9,Matches
Matheus Cunha,br BRA,"MF,FW",Wolves,25-319,1999,23.8,638,908,70.3,10202,3454,361,430,84.0,182,243,74.9,68,156,43.6,4,6.6,4.4,-2.6,43,78,48,9,112,Matches
Patson Daka,zm ZAM,"FW,MF",Leicester City,26-184,1998,6.5,91,127,71.7,1272,202,55,69,79.7,30,41,73.2,2,2,100.0,0,0.0,0.1,0.0,0,5,1,0,8,Matches
Diogo Dalot,pt POR,DF,Manchester Utd,26-024,1999,29.6,1290,1600,80.6,20836,6340,665,742,89.6,504,613,82.2,91,161,56.5,2,1.9,2.4,+0.1,24,57,23,8,96,Matches
Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,24-282,2000,25.9,899,1233,72.9,15309,6066,455,533,85.4,311,424,73.3,106,201,52.7,10,7.3,5.7,+2.7,55,136,58,15,195,Matches
Danilo,br BRA,"MF,FW",Nott'ham Forest,23-347,2001,2.3,74,93,79.6,1226,456,35,42,83.3,29,35,82.9,6,7,85.7,0,0.0,0.0,0.0,0,10,0,0,10,Matches
Jayden Danns,eng ENG,MF,Liverpool,19-085,2006,0.1,1,1,100.0,6,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Kevin Danso,at AUT,DF,Tottenham,26-204,1998,3.9,261,287,90.9,4534,1497,97,104,93.3,150,159,94.3,11,20,55.0,0,0.0,0.1,0.0,1,14,1,1,7,Matches
Ben Davies,wls WAL,DF,Tottenham,31-352,1993,9.0,576,643,89.6,10749,4425,197,212,92.9,318,336,94.6,50,73,68.5,0,0.1,0.2,-0.1,1,32,1,0,38,Matches
Leif Davis,eng ENG,DF,Ipswich Town,25-089,2000,27.5,833,1167,71.4,14326,5672,390,455,85.7,358,464,77.2,73,195,37.4,2,4.3,4.2,-2.3,53,29,26,11,55,Matches
Craig Dawson,eng ENG,DF,Wolves,34-340,1990,10.8,484,559,86.6,9745,3180,149,161,92.5,267,287,93.0,57,95,60.0,0,0.0,0.1,0.0,2,22,1,0,20,Matches
Kevin De Bruyne,be BEL,MF,Manchester City,33-287,1991,13.3,654,853,76.7,11147,3230,329,383,85.9,258,330,78.2,60,99,60.6,6,6.1,4.7,-0.1,41,64,44,9,116,Matches
Liam Delap,eng ENG,FW,Ipswich Town,22-062,2003,25.8,199,325,61.2,2780,618,111,158,70.3,63,100,63.0,9,22,40.9,2,1.9,1.4,+0.1,20,15,6,0,29,Matches
Sepp van den Berg,nl NED,DF,Brentford,23-112,2001,21.7,797,951,83.8,13543,4405,360,415,86.7,377,427,88.3,52,80,65.0,0,0.2,0.5,-0.2,4,49,3,1,58,Matches
Justin Devenny,nir NIR,MF,Crystal Palace,21-182,2003,3.7,99,141,70.2,1572,409,54,66,81.8,34,49,69.4,7,19,36.8,0,0.3,0.3,-0.3,5,13,2,1,10,Matches
Kiernan Dewsbury-Hall,eng ENG,"MF,FW",Chelsea,26-217,1998,2.9,127,151,84.1,1898,319,75,82,91.5,47,56,83.9,5,9,55.6,1,1.1,0.2,-0.1,3,12,3,0,14,Matches
Amad Diallo,ci CIV,"FW,MF",Manchester Utd,22-274,2002,17.7,658,794,82.9,9051,1880,407,450,90.4,185,217,85.3,33,63,52.4,6,3.9,3.6,+2.1,39,25,29,5,53,Matches
Rúben Dias,pt POR,DF,Manchester City,27-332,1997,18.2,1577,1685,93.6,27269,8899,665,686,96.9,812,845,96.1,81,116,69.8,0,0.3,0.9,-0.3,5,150,5,0,102,Matches
Luis Díaz,co COL,FW,Liverpool,28-088,1997,21.9,640,755,84.8,10318,2152,341,382,89.3,223,256,87.1,53,64,82.8,5,4.2,3.8,+0.8,47,40,37,4,96,Matches
Tyler Dibling,eng ENG,"FW,MF",Southampton,19-030,2006,18.0,435,539,80.7,6507,1387,242,269,90.0,163,192,84.9,17,40,42.5,0,1.5,1.4,-1.5,19,23,20,1,59,Matches
Lucas Digne,fr FRA,DF,Aston Villa,31-265,1993,23.9,893,1189,75.1,14338,4552,458,519,88.2,363,461,78.7,52,138,37.7,4,4.1,3.7,-0.1,34,41,27,17,51,Matches
Issa Diop,fr FRA,DF,Fulham,28-092,1997,14.9,663,758,87.5,12350,4179,233,252,92.5,379,408,92.9,46,87,52.9,0,0.1,0.1,-0.1,3,43,1,0,25,Matches
Axel Disasi,fr FRA,DF,Aston Villa,27-031,1998,5.1,238,272,87.5,4012,1502,100,106,94.3,129,142,90.8,8,15,53.3,0,0.4,0.3,-0.4,3,14,3,0,15,Matches
Axel Disasi,fr FRA,DF,Chelsea,27-031,1998,4.0,266,293,90.8,4218,1367,136,144,94.4,117,126,92.9,9,13,69.2,0,0.1,0.1,-0.1,2,20,2,0,16,Matches
Roman Dixon,eng ENG,DF,Everton,20-106,2004,1.0,11,19,57.9,205,111,6,8,75.0,4,8,50.0,1,3,33.3,0,0.0,0.0,0.0,0,3,0,0,0,Matches
Nasser Djiga,bf BFA,DF,Wolves,22-147,2002,0.2,8,8,100.0,113,32,4,4,100.0,4,4,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Matt Doherty,ie IRL,DF,Wolves,33-085,1992,19.6,890,1087,81.9,16480,5490,361,403,89.6,423,490,86.3,94,155,60.6,1,1.5,1.2,-0.5,11,85,13,1,73,Matches
Jeremy Doku,be BEL,"FW,MF",Manchester City,22-319,2002,14.1,497,625,79.5,6986,1268,327,378,86.5,152,185,82.2,12,18,66.7,4,3.5,3.1,+0.5,24,10,40,5,59,Matches
Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,26-287,1998,16.6,628,727,86.4,9044,2614,358,393,91.1,206,231,89.2,27,44,61.4,0,1.2,1.3,-1.2,11,59,8,0,58,Matches
Patrick Dorgu,dk DEN,DF,Manchester Utd,20-167,2004,4.5,194,243,79.8,2707,663,124,142,87.3,61,82,74.4,4,9,44.4,0,0.4,1.0,-0.4,5,12,6,2,19,Matches
Alfie Dorrington,eng ENG,DF,Tottenham,19-356,2005,0.2,15,16,93.8,304,39,6,7,85.7,7,7,100.0,2,2,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Abdoulaye Doucouré,ml MLI,MF,Everton,32-100,1993,23.9,602,760,79.2,9120,1917,318,376,84.6,224,271,82.7,35,49,71.4,1,2.0,1.1,-1.0,24,39,13,0,67,Matches
Cheick Doucouré,ml MLI,MF,Crystal Palace,25-093,2000,5.0,174,204,85.3,2909,823,84,94,89.4,70,78,89.7,16,20,80.0,0,0.0,0.1,0.0,1,17,3,0,19,Matches
Flynn Downes,eng ENG,MF,Southampton,26-081,1999,17.9,782,870,89.9,11569,2359,445,479,92.9,280,303,92.4,30,45,66.7,0,0.9,1.2,-0.9,12,47,9,0,55,Matches
Tommy Doyle,eng ENG,MF,Wolves,23-176,2001,5.4,321,392,81.9,6591,2010,112,119,94.1,138,155,89.0,61,93,65.6,1,0.5,0.3,+0.5,7,44,3,0,40,Matches
Radu Drăgușin,ro ROU,DF,Tottenham,23-067,2002,13.9,716,840,85.2,13638,5250,223,245,91.0,437,470,93.0,47,107,43.9,0,0.4,0.2,-0.4,4,52,2,1,37,Matches
Martin Dúbravka,sk SVK,GK,Newcastle Utd,36-086,1989,10.0,265,333,79.6,5932,3082,58,58,100.0,161,161,100.0,45,112,40.2,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Lewis Dunk,eng ENG,DF,Brighton,33-141,1991,19.1,1514,1668,90.8,28354,9124,560,579,96.7,813,855,95.1,129,207,62.3,0,0.5,0.7,-0.5,6,142,4,0,127,Matches
Jáder Durán,co COL,FW,Aston Villa,21-119,2003,7.1,115,163,70.6,1558,307,68,84,81.0,34,50,68.0,5,11,45.5,0,0.2,0.3,-0.2,4,10,1,0,13,Matches
Ederson,br BRA,GK,Manchester City,31-237,1993,21.0,664,758,87.6,16312,10785,118,118,100.0,391,398,98.2,153,239,64.0,3,0.8,0.0,+2.2,3,19,1,0,1,Matches
George Edmundson,eng ENG,DF,Ipswich Town,27-223,1997,0.0,1,2,50.0,9,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Odsonne Édouard,fr FRA,"MF,FW",Crystal Palace,27-085,1998,1.3,17,28,60.7,230,46,11,16,68.8,4,7,57.1,1,1,100.0,0,0.0,0.0,0.0,1,2,0,0,4,Matches
Odsonne Édouard,fr FRA,FW,Leicester City,27-085,1998,0.3,6,8,75.0,59,5,3,4,75.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,1,0,0,0,1,Matches
Samuel Edozie,eng ENG,"DF,FW",Southampton,22-073,2003,0.7,25,33,75.8,316,67,19,21,90.5,6,7,85.7,0,3,0.0,0,0.1,0.2,-0.1,1,0,3,0,4,Matches
Ronnie Edwards,eng ENG,DF,Southampton,22-014,2003,0.1,5,5,100.0,109,0,0,0,,5,5,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Anthony Elanga,se SWE,FW,Nott'ham Forest,22-349,2002,21.9,410,631,65.0,5916,2017,248,294,84.4,108,171,63.2,34,101,33.7,8,4.3,3.8,+3.7,39,25,22,6,46,Matches
Harvey Elliott,eng ENG,"MF,FW",Liverpool,22-007,2003,1.8,134,168,79.8,2369,571,72,78,92.3,44,58,75.9,14,21,66.7,1,0.8,0.4,+0.2,4,12,4,0,23,Matches
Yunus Emre Konak,tr TUR,"FW,MF",Brentford,19-091,2006,0.3,20,27,74.1,329,76,12,15,80.0,5,6,83.3,3,4,75.0,0,0.0,0.0,0.0,0,1,0,0,2,Matches
Julio Enciso,py PAR,"FW,MF",Ipswich Town,21-078,2004,4.8,106,150,70.7,1671,554,53,68,77.9,38,52,73.1,7,12,58.3,2,1.0,0.7,+1.0,7,9,5,0,18,Matches
Julio Enciso,py PAR,"MF,FW",Brighton,21-078,2004,3.3,99,150,66.0,1464,392,61,75,81.3,29,40,72.5,5,22,22.7,0,0.2,0.3,-0.2,5,13,4,1,14,Matches
Wataru Endo,jp JPN,MF,Liverpool,32-061,1993,1.6,79,84,94.0,1254,294,40,42,95.2,31,32,96.9,5,5,100.0,0,0.0,0.0,0.0,1,8,1,0,9,Matches
Christian Eriksen,dk DEN,MF,Manchester Utd,33-056,1992,9.0,436,546,79.9,7387,2304,233,252,92.5,143,179,79.9,45,92,48.9,1,2.4,1.8,-1.4,21,41,6,1,40,Matches
Romain Esse,eng ENG,MF,Crystal Palace,19-333,2005,0.1,3,5,60.0,63,29,1,2,50.0,1,1,100.0,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
Pervis Estupiñán,ec ECU,DF,Brighton,27-080,1998,20.7,1055,1262,83.6,16073,4853,624,669,93.3,345,414,83.3,63,120,52.5,1,1.9,1.9,-0.9,22,73,27,18,86,Matches
Evanilson,br BRA,FW,Bournemouth,25-187,1999,19.1,173,249,69.5,2106,423,114,155,73.5,36,51,70.6,8,10,80.0,0,1.5,1.5,-1.5,21,12,2,0,17,Matches
Jonny Evans,nir NIR,DF,Manchester Utd,37-098,1988,3.2,174,196,88.8,2809,784,82,87,94.3,81,90,90.0,6,12,50.0,0,0.0,0.0,0.0,0,9,1,0,8,Matches
Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,26-286,1998,23.3,660,887,74.4,11071,2930,325,380,85.5,258,311,83.0,60,138,43.5,8,4.7,3.4,+3.3,51,44,30,3,83,Matches
Łukasz Fabiański,pl POL,GK,West Ham,39-358,1985,11.9,304,454,67.0,8756,6129,53,53,100.0,147,148,99.3,104,252,41.3,0,0.0,0.0,0.0,0,4,0,0,0,Matches
Wout Faes,be BEL,DF,Leicester City,27-008,1998,25.3,1082,1245,86.9,20017,6917,418,448,93.3,572,605,94.5,89,171,52.0,0,0.1,0.4,-0.1,4,72,5,0,72,Matches
Abdul Fatawu Issahaku,gh GHA,FW,Leicester City,21-034,2004,6.4,123,197,62.4,2150,601,59,81,72.8,45,59,76.3,16,33,48.5,2,1.6,1.4,+0.4,6,7,7,2,17,Matches
João Félix,pt POR,"FW,MF",Chelsea,25-152,1999,4.1,171,199,85.9,2588,663,95,105,90.5,62,68,91.2,10,15,66.7,1,1.0,0.5,0.0,6,22,8,0,26,Matches
Evan Ferguson,ie IRL,FW,West Ham,20-174,2004,1.6,25,32,78.1,290,11,20,24,83.3,4,6,66.7,0,1,0.0,0,0.3,0.3,-0.3,2,0,0,0,0,Matches
Evan Ferguson,ie IRL,FW,Brighton,20-174,2004,2.7,43,58,74.1,484,44,31,36,86.1,8,11,72.7,1,4,25.0,0,0.4,0.4,-0.4,3,1,0,0,1,Matches
Bruno Fernandes,pt POR,MF,Manchester Utd,30-215,1994,28.4,1388,1851,75.0,24560,8701,667,772,86.4,503,627,80.2,175,331,52.9,9,6.6,6.3,+2.4,75,166,60,9,251,Matches
Mateus Fernandes,pt POR,MF,Southampton,20-275,2004,25.8,884,1112,79.5,15050,3593,419,481,87.1,337,394,85.5,88,157,56.1,3,2.4,2.8,+0.6,27,78,19,4,120,Matches
Enzo Fernández,ar ARG,MF,Chelsea,24-084,2001,25.8,1266,1569,80.7,22233,6229,595,664,89.6,510,600,85.0,130,220,59.1,5,5.3,5.2,-0.3,62,140,31,4,173,Matches
Mark Flekken,nl NED,GK,Brentford,31-302,1993,29.4,1044,1425,73.3,30510,20751,132,135,97.8,564,579,97.4,348,704,49.4,1,0.2,0.1,+0.8,2,42,2,0,0,Matches
Phil Foden,eng ENG,"MF,FW",Manchester City,24-318,2000,18.7,742,883,84.0,11563,2445,443,489,90.6,224,251,89.2,62,104,59.6,2,4.7,5.1,-2.7,42,40,35,5,95,Matches
Wesley Fofana,fr FRA,DF,Chelsea,24-115,2000,13.0,724,803,90.2,12262,3415,306,326,93.9,385,416,92.5,26,42,61.9,0,0.4,0.2,-0.4,6,54,1,0,32,Matches
Carlos Forbs,pt POR,"MF,FW",Wolves,21-023,2004,2.6,56,87,64.4,739,228,36,48,75.0,18,25,72.0,1,5,20.0,0,0.0,0.1,0.0,1,2,3,1,8,Matches
Fraser Forster,eng ENG,GK,Tottenham,37-025,1988,7.0,168,198,84.8,3349,2105,54,55,98.2,86,90,95.6,23,47,48.9,0,0.0,0.0,0.0,0,1,0,0,0,Matches
Matheus França,br BRA,"MF,DF",Crystal Palace,21-010,2004,0.2,2,4,50.0,44,25,0,0,,2,4,50.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,2,Matches
Ryan Fraser,sct SCO,"FW,DF",Southampton,31-046,1994,3.4,77,103,74.8,1121,208,43,46,93.5,28,40,70.0,3,10,30.0,0,0.1,0.1,-0.1,2,3,1,0,8,Matches
Niclas Füllkrug,de GER,FW,West Ham,32-061,1993,5.0,69,108,63.9,920,122,42,57,73.7,20,35,57.1,2,4,50.0,1,1.5,0.3,-0.5,9,4,2,0,5,Matches
Cody Gakpo,nl NED,FW,Liverpool,25-339,1999,16.3,375,492,76.2,5304,1363,233,269,86.6,112,166,67.5,16,28,57.1,3,3.5,2.7,-0.5,30,21,22,6,46,Matches
Idrissa Gana Gueye,sn SEN,MF,Everton,35-197,1989,27.2,960,1113,86.3,16143,4164,477,529,90.2,391,432,90.5,77,106,72.6,3,1.7,1.7,+1.3,19,117,8,3,112,Matches
Andrés García,es ESP,"DF,MF",Aston Villa,22-063,2003,3.5,169,195,86.7,2644,577,86,93,92.5,72,79,91.1,7,13,53.8,0,0.2,0.4,-0.2,3,9,8,5,15,Matches
Alejandro Garnacho,ar ARG,"MF,FW",Manchester Utd,20-284,2004,20.2,530,665,79.7,7473,967,337,376,89.6,144,175,82.3,26,44,59.1,1,2.8,1.8,-1.8,26,19,20,3,46,Matches
James Garner,eng ENG,"MF,DF",Everton,24-029,2001,10.7,313,447,70.0,5364,1826,142,175,81.1,134,170,78.8,30,70,42.9,1,1.1,1.0,-0.1,10,27,5,2,27,Matches
Tyrique George,eng ENG,FW,Chelsea,19-066,2006,1.0,36,43,83.7,480,72,19,20,95.0,14,17,82.4,0,2,0.0,1,0.7,0.3,+0.3,5,0,1,0,2,Matches
Morgan Gibbs-White,eng ENG,MF,Nott'ham Forest,25-074,2000,24.4,803,1019,78.8,12231,3802,450,529,85.1,260,315,82.5,56,95,58.9,7,4.4,4.2,+2.6,44,109,35,7,136,Matches
Billy Gilmour,sct SCO,MF,Brighton,23-304,2001,1.1,58,67,86.6,980,346,36,38,94.7,18,22,81.8,4,7,57.1,0,0.0,0.0,0.0,0,12,2,0,11,Matches
Ben Godfrey,eng ENG,DF,Ipswich Town,27-086,1998,1.2,46,55,83.6,632,232,30,33,90.9,15,17,88.2,0,0,,0,0.0,0.0,0.0,0,5,1,0,4,Matches
Martial Godo,eng ENG,FW,Fulham,22-028,2003,0.2,3,5,60.0,41,2,2,3,66.7,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
João Gomes,br BRA,MF,Wolves,24-058,2001,27.0,1112,1305,85.2,16136,4183,642,708,90.7,351,409,85.8,59,95,62.1,1,1.1,1.7,-0.1,20,104,21,1,140,Matches
Rodrigo Gomes,pt POR,"DF,FW",Wolves,21-278,2003,6.6,152,230,66.1,2270,814,89,115,77.4,54,79,68.4,6,22,27.3,0,0.8,0.7,-0.8,10,10,12,4,23,Matches
Toti Gomes,pt POR,DF,Wolves,26-085,1999,22.0,1076,1269,84.8,18229,6507,475,523,90.8,510,554,92.1,70,135,51.9,1,0.9,0.5,+0.1,7,65,5,3,63,Matches
Diego Gómez,py PAR,MF,Brighton,22-015,2003,4.4,181,228,79.4,2768,669,102,118,86.4,64,77,83.1,10,20,50.0,0,0.5,0.8,-0.5,5,12,4,1,18,Matches
Joe Gomez,eng ENG,DF,Liverpool,27-323,1997,5.8,377,425,88.7,6689,2299,155,170,91.2,191,204,93.6,26,42,61.9,0,0.1,0.1,-0.1,2,29,0,0,35,Matches
Nicolás González,es ESP,MF,Manchester City,23-098,2002,5.3,376,405,92.8,5635,1322,216,221,97.7,153,169,90.5,6,8,75.0,0,0.1,0.4,-0.1,1,37,2,0,33,Matches
Anthony Gordon,eng ENG,FW,Newcastle Utd,24-046,2001,23.4,612,850,72.0,9404,3173,342,401,85.3,206,268,76.9,45,111,40.5,5,4.9,4.8,+0.1,49,56,49,16,88,Matches
Ryan Gravenberch,nl NED,MF,Liverpool,22-330,2002,29.5,1473,1654,89.1,21936,5416,810,878,92.3,562,613,91.7,54,88,61.4,3,2.8,3.1,+0.2,24,126,28,1,149,Matches
Archie Gray,eng ENG,"DF,MF",Tottenham,19-030,2006,14.0,846,945,89.5,15054,4685,311,336,92.6,477,508,93.9,49,78,62.8,0,0.1,0.2,-0.1,2,30,0,0,27,Matches
Jack Grealish,eng ENG,"FW,MF",Manchester City,29-213,1995,8.0,373,426,87.6,5566,961,241,258,93.4,114,130,87.7,17,25,68.0,1,1.8,1.7,-0.8,24,23,16,0,52,Matches
Jacob Greaves,eng ENG,DF,Ipswich Town,24-211,2000,18.5,759,868,87.4,12401,4725,359,386,93.0,362,393,92.1,26,63,41.3,0,0.0,0.2,0.0,2,55,1,0,48,Matches
Brajan Gruda,de GER,"FW,MF",Brighton,20-315,2004,5.4,131,179,73.2,1737,586,85,103,82.5,30,42,71.4,8,21,38.1,1,0.7,0.6,+0.3,12,7,10,1,17,Matches
Albert Grønbaek,dk DEN,"FW,MF",Southampton,23-323,2001,1.6,13,18,72.2,135,43,9,11,81.8,2,4,50.0,0,0,,0,0.0,0.0,0.0,1,2,0,0,1,Matches
Gonçalo Guedes,pt POR,"MF,FW",Wolves,28-133,1996,8.6,186,256,72.7,3117,789,95,113,84.1,73,96,76.0,13,29,44.8,4,1.1,0.6,+2.9,11,13,16,5,30,Matches
Marc Guéhi,eng ENG,DF,Crystal Palace,24-272,2000,29.0,1271,1523,83.5,24571,10123,457,500,91.4,669,753,88.8,136,244,55.7,2,1.1,1.2,+0.9,10,115,9,3,119,Matches
Luis Guilherme,br BRA,"MF,FW",West Ham,19-061,2006,1.2,37,44,84.1,566,144,25,26,96.2,9,11,81.8,3,5,60.0,0,0.1,0.1,-0.1,3,1,3,2,3,Matches
Bruno Guimarães,br BRA,MF,Newcastle Utd,27-146,1997,28.6,1151,1404,82.0,18950,6390,576,639,90.1,446,512,87.1,93,159,58.5,6,5.3,4.4,+0.7,40,144,55,4,212,Matches
Marc Guiu,es ESP,FW,Chelsea,19-097,2006,0.8,11,16,68.8,110,4,9,13,69.2,1,2,50.0,0,0,,0,0.0,0.0,0.0,1,0,0,0,0,Matches
İlkay Gündoğan,de GER,MF,Manchester City,34-169,1990,18.9,1216,1364,89.1,18727,3661,694,738,94.0,428,461,92.8,72,122,59.0,3,2.5,3.5,+0.5,32,88,18,2,105,Matches
Malo Gusto,fr FRA,DF,Chelsea,21-327,2003,19.2,1095,1270,86.2,17892,4455,531,568,93.5,473,539,87.8,65,106,61.3,1,1.1,1.6,-0.1,17,100,14,4,103,Matches
Joško Gvardiol,hr CRO,DF,Manchester City,23-078,2002,29.4,1983,2192,90.5,31841,8265,983,1046,94.0,899,973,92.4,80,116,69.0,0,2.0,2.7,-2.0,25,189,19,1,218,Matches
Erling Haaland,no NOR,FW,Manchester City,24-264,2000,27.6,225,341,66.0,2706,532,156,221,70.6,50,75,66.7,4,6,66.7,3,2.8,1.8,+0.2,26,9,7,1,18,Matches
Lewis Hall,eng ENG,DF,Newcastle Utd,20-215,2004,24.3,1300,1592,81.7,21999,8891,653,715,91.3,525,617,85.1,104,202,51.5,4,4.3,3.7,-0.3,34,114,17,5,123,Matches
Ali Al Hamadi,iq IRQ,FW,Ipswich Town,23-041,2002,1.5,25,30,83.3,278,29,20,23,87.0,5,7,71.4,0,0,,0,0.1,0.0,-0.1,2,0,0,0,3,Matches
Marcus Harness,eng ENG,MF,Ipswich Town,29-046,1996,0.5,10,16,62.5,89,23,9,11,81.8,0,1,0.0,0,1,0.0,0,0.0,0.1,0.0,0,0,2,0,2,Matches
Jack Harrison,eng ENG,FW,Everton,28-142,1996,18.4,318,500,63.6,4941,1852,189,229,82.5,86,125,68.8,27,81,33.3,0,3.5,2.7,-3.5,28,22,19,7,36,Matches
Taylor Harwood-Bellis,eng ENG,DF,Southampton,23-071,2002,25.6,1623,1842,88.1,30077,10741,601,643,93.5,865,945,91.5,143,223,64.1,0,0.8,0.6,-0.8,12,159,8,0,107,Matches
