Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Max Aarons,eng ENG,DF,Bournemouth,25-096,2000,1.0,73,2,19,40,15,0,73,2,0,0.0,1,50.0,41,152,68,1,0,0,1,0,40,3,Matches
Joshua Acheampong,eng ENG,DF,Chelsea,18-340,2006,1.9,137,7,48,81,8,3,137,2,1,50.0,0,0.0,106,709,409,0,2,0,2,0,111,0,Matches
Tyler Adams,us USA,MF,Bournemouth,26-055,1999,15.3,939,40,239,545,164,12,939,14,2,14.3,9,64.3,448,2051,936,11,15,1,21,9,500,7,Matches
Tosin Adarabioyo,eng ENG,DF,Chelsea,27-198,1997,13.1,1132,156,543,568,22,13,1132,3,2,66.7,0,0.0,675,2716,1530,5,1,0,3,0,865,1,Matches
Simon Adingra,ci CIV,"FW,MF",Brighton,23-099,2002,8.3,374,6,52,115,212,48,374,35,15,42.9,20,57.1,246,1626,759,27,15,13,29,9,262,96,Matches
Emmanuel Agbadou,ci CIV,DF,Wolves,27-297,1997,8.7,611,96,325,274,17,2,611,7,6,85.7,1,14.3,361,1760,762,1,2,0,2,3,385,0,Matches
Asher Agbinone,eng ENG,MF,Crystal Palace,19-194,2005,0.1,8,0,0,2,6,0,8,2,0,0.0,1,50.0,5,53,23,2,0,0,0,1,5,1,Matches
Ola Aina,ng NGA,DF,Nott'ham Forest,28-184,1996,28.5,1462,138,539,610,338,21,1462,64,29,45.3,24,37.5,629,4026,2328,54,35,10,39,21,691,52,Matches
Rayan Aït-Nouri,dz ALG,DF,Wolves,23-308,2001,28.3,1728,81,475,745,529,72,1728,98,48,49.0,36,36.7,896,4944,2577,68,50,22,38,36,1038,147,Matches
Kristoffer Ajer,no NOR,DF,Brentford,26-358,1998,14.4,714,47,238,334,147,33,714,14,7,50.0,6,42.9,348,1951,1116,26,10,2,14,12,450,39,Matches
Manuel Akanji,ch SUI,DF,Manchester City,29-265,1995,19.0,1591,108,472,773,348,11,1591,2,2,100.0,0,0.0,1041,5502,3286,38,52,0,4,5,1258,6,Matches
Nathan Aké,nl NED,DF,Manchester City,30-051,1995,7.5,596,51,205,331,61,5,596,1,1,100.0,0,0.0,403,2244,1501,12,12,1,4,3,449,2,Matches
Carlos Alcaraz,ar ARG,MF,Southampton,22-131,2002,0.1,17,0,1,8,9,2,17,2,0,0.0,2,100.0,12,112,98,4,1,0,0,0,12,1,Matches
Carlos Alcaraz,ar ARG,"MF,FW",Everton,22-131,2002,4.6,218,9,41,90,93,11,218,10,6,60.0,3,30.0,114,693,390,10,12,0,8,8,136,8,Matches
Trent Alexander-Arnold,eng ENG,DF,Liverpool,26-185,1998,23.8,2044,82,546,902,609,39,2044,29,13,44.8,14,48.3,1075,4978,2652,48,35,8,19,15,1299,87,Matches
Alisson,br BRA,GK,Liverpool,32-190,1992,20.9,682,499,668,14,0,0,682,1,1,100.0,0,0.0,447,1803,1063,0,0,0,1,0,407,0,Matches
Miguel Almirón,py PAR,FW,Newcastle Utd,31-059,1994,1.7,81,1,10,35,36,9,81,2,1,50.0,1,50.0,54,284,93,3,3,2,0,2,59,18,Matches
Edson Álvarez,mx MEX,MF,West Ham,27-168,1997,18.1,1101,61,323,612,174,12,1101,31,14,45.2,12,38.7,603,3371,1528,21,20,2,25,13,734,18,Matches
Will Alves,eng ENG,FW,Leicester City,20-066,2005,0.0,1,0,0,0,1,0,1,0,0,,0,,1,5,5,0,0,0,0,0,1,1,Matches
Harry Amass,eng ENG,DF,Manchester Utd,18-025,2007,0.2,27,3,12,9,6,0,27,0,0,,0,,11,44,10,0,0,0,1,3,10,1,Matches
Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,18-266,2006,0.3,16,0,5,5,7,1,16,4,0,0.0,3,75.0,11,98,68,1,0,1,0,2,11,3,Matches
Mathis Amougou,fr FRA,MF,Chelsea,19-082,2006,0.1,9,1,2,4,3,0,9,0,0,,0,,7,25,5,0,1,0,0,1,6,0,Matches
Joachim Andersen,dk DEN,DF,Crystal Palace,28-314,1996,1.0,93,14,38,50,5,0,93,0,0,,0,,49,189,103,1,1,0,0,1,67,1,Matches
Joachim Andersen,dk DEN,DF,Fulham,28-314,1996,21.7,1794,267,936,801,67,13,1794,4,4,100.0,0,0.0,1056,4845,2379,11,8,1,4,3,1256,1,Matches
Elliot Anderson,eng ENG,MF,Nott'ham Forest,22-155,2002,23.7,1378,76,316,648,441,55,1378,67,33,49.3,26,38.8,688,3800,1752,36,27,15,51,34,814,76,Matches
André,br BRA,MF,Wolves,23-268,2001,21.2,1213,77,333,780,110,3,1213,23,11,47.8,8,34.8,664,2798,1237,7,13,0,22,13,814,11,Matches
Michail Antonio,jm JAM,FW,West Ham,35-013,1990,9.3,296,3,26,124,151,36,296,27,9,33.3,13,48.1,173,1177,695,29,13,9,35,19,221,59,Matches
Antony,br BRA,"DF,MF",Manchester Utd,25-045,2000,1.6,101,2,22,26,54,8,101,11,4,36.4,6,54.5,60,317,182,5,6,1,5,1,69,7,Matches
Julian Araujo,mx MEX,DF,Bournemouth,23-240,2001,3.9,200,15,68,103,32,1,200,0,0,,0,,84,290,138,2,0,0,4,2,100,11,Matches
Cameron Archer,eng ENG,FW,Southampton,23-263,2001,13.9,329,14,53,148,131,46,328,29,13,44.8,15,51.7,189,947,443,16,7,13,29,23,227,58,Matches
Alphonse Areola,fr FRA,GK,West Ham,32-042,1993,19.1,814,657,808,6,0,0,814,0,0,,0,,460,1901,1008,0,0,0,0,0,423,0,Matches
Joe Aribo,ng NGA,"MF,DF",Southampton,28-263,1996,21.2,1203,46,288,632,294,44,1203,46,18,39.1,22,47.8,708,3880,1923,35,28,12,25,16,879,64,Matches
Adam Armstrong,eng ENG,"FW,MF",Southampton,28-059,1997,13.9,377,11,44,143,192,49,376,14,6,42.9,8,57.1,235,1324,599,25,13,6,11,18,286,79,Matches
Harrison Armstrong,eng ENG,MF,Everton,18-081,2007,0.5,20,0,3,12,7,2,20,1,1,100.0,0,0.0,15,110,43,1,2,0,2,3,14,0,Matches
Kepa Arrizabalaga,es ESP,GK,Bournemouth,30-189,1994,24.0,843,617,820,22,1,1,843,1,1,100.0,0,0.0,488,2436,1381,0,0,0,0,0,378,0,Matches
Marco Asensio,es ESP,"MF,FW",Aston Villa,29-079,1996,3.4,163,1,15,77,76,13,163,7,5,71.4,2,28.6,104,651,364,14,14,2,4,3,114,11,Matches
Brandon Austin,eng ENG,GK,Tottenham,26-092,1999,1.0,36,30,36,0,0,0,36,0,0,,0,,22,104,46,0,0,0,0,0,16,0,Matches
Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,27-241,1997,4.0,151,4,13,68,71,21,151,8,3,37.5,5,62.5,83,373,183,6,5,2,17,16,104,19,Matches
Yasin Ayari,se SWE,MF,Brighton,21-186,2003,17.1,957,47,216,480,274,41,957,38,16,42.1,13,34.2,483,2366,1051,22,17,6,31,21,616,54,Matches
Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,33-211,1991,0.2,12,0,0,7,5,1,12,0,0,,0,,6,25,12,0,0,0,0,1,9,1,Matches
Jordan Ayew,gh GHA,"FW,MF",Leicester City,33-211,1991,14.6,649,18,89,331,251,46,648,52,19,36.5,27,51.9,389,2649,1195,38,30,7,51,31,434,68,Matches
Benoît Badiashile,fr FRA,DF,Chelsea,24-015,2001,3.7,336,31,138,186,13,0,336,1,0,0.0,1,100.0,177,660,340,3,5,0,1,0,247,2,Matches
Leon Bailey,jm JAM,"FW,MF",Aston Villa,27-244,1997,12.6,539,18,76,155,318,69,539,57,22,38.6,24,42.1,344,2540,1334,57,22,33,35,25,386,121,Matches
Carlos Baleba,cm CMR,MF,Brighton,21-097,2004,22.9,1267,56,285,751,268,10,1267,48,29,60.4,16,33.3,688,3945,1981,34,34,2,32,31,749,26,Matches
Ross Barkley,eng ENG,MF,Aston Villa,31-126,1993,6.2,429,16,68,255,112,17,429,10,8,80.0,2,20.0,254,1377,640,14,13,2,5,8,302,8,Matches
Harvey Barnes,eng ENG,FW,Newcastle Utd,27-122,1997,12.0,515,10,72,166,280,78,515,41,16,39.0,20,48.8,369,2681,1515,57,30,30,21,12,409,118,Matches
Calvin Bassey,ng NGA,DF,Fulham,25-100,1999,28.2,2023,270,990,948,105,16,2023,27,12,44.4,9,33.3,1295,6355,3562,23,14,4,27,7,1396,12,Matches
Jan Bednarek,pl POL,DF,Southampton,28-363,1996,23.1,1809,317,940,839,37,14,1809,3,3,100.0,0,0.0,914,3304,1564,4,5,1,9,3,1159,1,Matches
Armel Bella Kotchap,de GER,DF,Southampton,23-120,2001,3.7,263,33,147,115,3,1,263,1,0,0.0,1,100.0,186,936,326,0,0,0,1,0,192,0,Matches
Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,26-287,1998,16.0,703,21,119,322,278,41,703,57,13,22.8,30,52.6,435,2719,1329,45,33,10,34,23,490,79,Matches
Rodrigo Bentancur,uy URU,MF,Tottenham,27-289,1997,15.5,1132,67,278,673,190,21,1132,17,8,47.1,7,41.2,678,3054,1203,21,22,5,15,17,749,30,Matches
Sander Berge,no NOR,MF,Fulham,27-055,1998,20.3,1143,68,317,665,166,11,1143,16,9,56.3,5,31.3,658,3474,1502,20,18,2,9,13,726,8,Matches
Lucas Bergvall,se SWE,MF,Tottenham,19-067,2006,12.0,815,34,173,442,213,20,815,44,21,47.7,19,43.2,494,3114,1475,27,20,4,19,16,542,27,Matches
Victor Bernth Kristiansen,dk DEN,DF,Leicester City,22-115,2002,26.4,1581,113,564,711,319,15,1581,17,8,47.1,8,47.1,800,3839,1806,39,25,5,13,12,872,75,Matches
Beto,gw GNB,FW,Everton,27-069,1998,11.9,365,20,39,159,172,61,365,30,16,53.3,13,43.3,196,991,376,12,8,8,46,29,263,54,Matches
Philip Billing,dk DEN,MF,Bournemouth,28-303,1996,2.0,148,5,20,72,57,12,148,3,1,33.3,0,0.0,58,254,163,3,1,1,7,4,75,13,Matches
Yves Bissouma,ml MLI,MF,Tottenham,28-223,1996,12.8,890,56,252,503,141,5,890,21,7,33.3,14,66.7,537,3183,1461,15,17,0,22,12,619,3,Matches
Oscar Bobb,no NOR,FW,Manchester City,21-272,2003,0.1,2,0,1,1,0,0,2,0,0,,0,,1,4,0,0,0,0,0,0,1,0,Matches
Lamare Bogarde,nl NED,"DF,MF",Aston Villa,21-095,2004,5.3,325,16,95,191,40,4,325,4,2,50.0,1,25.0,173,1031,599,12,6,1,6,8,212,9,Matches
Willy Boly,ci CIV,DF,Nott'ham Forest,34-066,1991,1.7,97,22,63,32,2,1,97,0,0,,0,,35,128,45,0,0,0,1,0,46,0,Matches
Sven Botman,nl NED,DF,Newcastle Utd,25-088,2000,2.5,156,24,63,89,5,5,156,3,1,33.3,1,33.3,82,350,171,0,0,0,1,0,101,0,Matches
Jarrod Bowen,eng ENG,"FW,MF",West Ham,28-111,1996,26.3,1015,23,117,368,553,137,1014,107,40,37.4,58,54.2,599,4368,2104,88,39,47,62,63,652,164,Matches
Conor Bradley,nir NIR,DF,Liverpool,21-275,2003,4.4,377,15,118,163,102,21,377,8,3,37.5,4,50.0,207,1201,668,20,10,5,8,1,234,18,Matches
Jarrad Branthwaite,eng ENG,DF,Everton,22-287,2002,22.1,1157,172,621,489,53,19,1157,5,3,60.0,1,20.0,553,3020,1810,8,13,2,7,3,661,1,Matches
James Bree,eng ENG,DF,Southampton,27-181,1997,9.9,598,42,194,261,148,10,598,8,4,50.0,2,25.0,316,1372,688,9,11,0,6,4,385,34,Matches
Ben Brereton,cl CHI,FW,Southampton,25-357,1999,5.0,206,4,19,76,112,20,206,4,1,25.0,2,50.0,136,791,394,12,13,4,9,4,171,42,Matches
Nathan Broadhead,wls WAL,"MF,FW",Ipswich Town,27-005,1998,6.6,270,7,38,136,105,19,270,30,14,46.7,14,46.7,147,1048,480,15,13,4,18,11,187,25,Matches
Armando Broja,al ALB,FW,Everton,23-212,2001,2.3,83,4,10,25,52,13,83,14,6,42.9,7,50.0,43,462,246,10,6,3,8,9,59,18,Matches
David Brooks,wls WAL,"FW,MF",Bournemouth,27-276,1997,8.8,427,12,53,160,222,32,427,30,8,26.7,19,63.3,262,1775,792,25,20,8,26,10,284,72,Matches
Emi Buendía,ar ARG,"MF,FW",Aston Villa,28-106,1996,1.1,82,0,17,35,31,3,82,2,0,0.0,2,100.0,53,185,119,3,5,0,4,3,64,6,Matches
Santiago Bueno,uy URU,DF,Wolves,26-152,1998,17.1,937,151,475,447,18,6,937,2,0,0.0,2,100.0,514,2613,1376,1,2,0,2,2,614,1,Matches
Facundo Buonanotte,ar ARG,"FW,MF",Leicester City,20-108,2004,15.5,805,23,117,412,289,32,805,74,25,33.8,45,60.8,442,2806,1261,37,26,8,51,37,491,63,Matches
Cameron Burgess,au AUS,DF,Ipswich Town,29-171,1995,12.5,750,163,435,275,41,21,750,0,0,,0,,346,1637,845,2,4,0,2,0,439,3,Matches
Dan Burn,eng ENG,DF,Newcastle Utd,32-336,1992,29.0,1819,312,1060,682,80,37,1819,3,3,100.0,0,0.0,1042,4715,2039,6,3,1,19,3,1216,6,Matches
Wes Burns,wls WAL,"FW,DF",Ipswich Town,30-138,1994,10.3,350,21,69,129,160,18,350,24,9,37.5,14,58.3,216,1458,696,38,13,10,17,13,220,65,Matches
Moisés Caicedo,ec ECU,MF,Chelsea,23-159,2001,30.2,2140,77,461,1316,384,12,2140,47,19,40.4,18,38.3,1192,5556,2635,35,23,2,30,20,1512,28,Matches
Tom Cairney,sct SCO,MF,Fulham,34-080,1991,4.9,506,5,69,275,169,7,506,11,4,36.4,3,27.3,343,1676,807,13,15,3,4,3,417,21,Matches
Jens Cajuste,se SWE,MF,Ipswich Town,25-243,1999,17.8,831,49,230,438,175,11,831,41,23,56.1,12,29.3,379,2098,1110,23,20,3,19,11,479,14,Matches
Riccardo Calafiori,it ITA,DF,Arsenal,22-326,2002,10.3,628,30,161,249,222,29,628,13,9,69.2,3,23.1,291,1572,839,21,12,3,11,5,377,29,Matches
Dominic Calvert-Lewin,eng ENG,FW,Everton,28-025,1997,17.5,491,21,38,204,254,82,491,25,10,40.0,13,52.0,268,1398,444,22,8,16,71,32,402,105,Matches
Diego Carlos,br BRA,DF,Aston Villa,32-026,1993,9.2,674,86,331,330,15,6,674,2,2,100.0,0,0.0,419,2133,1162,3,3,0,1,2,481,0,Matches
Fabio Carvalho,pt POR,"FW,MF",Brentford,22-223,2002,5.1,247,4,44,91,113,22,247,14,2,14.3,10,71.4,137,698,356,9,3,0,13,8,145,23,Matches
Casemiro,br BRA,MF,Manchester Utd,33-046,1992,14.1,1039,67,309,523,215,37,1039,6,3,50.0,3,50.0,546,1680,775,4,10,0,10,10,663,26,Matches
Kaelan Casey,eng ENG,DF,West Ham,20-164,2004,0.0,1,1,1,0,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
Matty Cash,pl POL,DF,Aston Villa,27-246,1997,16.4,837,59,304,340,203,33,837,32,15,46.9,14,43.8,413,2711,1381,39,31,4,14,6,472,53,Matches
Eiran Cashin,ie IRL,DF,Brighton,23-152,2001,0.2,30,2,9,19,2,0,30,1,0,0.0,1,100.0,19,131,99,0,0,0,0,0,23,1,Matches
Timothy Castagne,be BEL,DF,Fulham,29-126,1995,16.9,1077,85,419,431,232,30,1077,10,4,40.0,4,40.0,521,2097,1016,17,14,2,13,5,628,65,Matches
Trevoh Chalobah,eng ENG,DF,Crystal Palace,25-279,1999,11.8,594,66,275,276,51,14,594,10,6,60.0,2,20.0,278,1213,661,11,9,1,4,7,317,6,Matches
Trevoh Chalobah,eng ENG,DF,Chelsea,25-279,1999,5.3,411,33,190,197,28,7,411,3,1,33.3,0,0.0,222,814,333,2,2,0,3,2,307,0,Matches
Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,28-053,1997,6.9,286,6,47,144,100,12,286,6,3,50.0,3,50.0,138,697,380,10,7,0,9,3,195,20,Matches
Youssef Chermiti,pt POR,"FW,MF",Everton,20-321,2004,0.2,8,0,0,2,6,2,8,1,1,100.0,0,0.0,4,11,1,0,0,0,0,0,6,4,Matches
Federico Chiesa,it ITA,FW,Liverpool,27-167,1997,0.4,32,0,5,12,15,4,32,1,0,0.0,1,100.0,22,80,35,2,0,1,1,3,24,6,Matches
Ben Chilwell,eng ENG,DF,Crystal Palace,28-110,1996,1.2,83,6,30,33,21,1,83,3,0,0.0,2,66.7,34,146,99,1,0,0,2,2,34,7,Matches
Chiquinho,pt POR,MF,Wolves,25-064,2000,0.1,3,0,0,1,2,1,3,0,0,,0,,1,13,5,0,0,0,0,0,2,0,Matches
Hamza Choudhury,bd BAN,"MF,DF",Leicester City,27-191,1997,1.5,100,4,19,61,20,3,100,4,3,75.0,1,25.0,63,246,130,4,2,2,1,0,71,6,Matches
Ryan Christie,sct SCO,MF,Bournemouth,30-047,1995,23.5,1376,74,256,773,372,46,1376,48,23,47.9,22,45.8,726,3802,1773,34,40,8,44,25,777,44,Matches
Harry Clarke,eng ENG,DF,Ipswich Town,24-039,2001,4.2,268,18,100,122,47,2,268,2,1,50.0,1,50.0,118,555,222,5,7,0,4,2,163,2,Matches
Jack Clarke,eng ENG,"FW,MF",Ipswich Town,24-138,2000,9.9,421,11,92,172,168,28,421,34,20,58.8,10,29.4,245,1715,849,25,14,9,19,14,265,47,Matches
Nathaniel Clyne,eng ENG,"DF,MF",Crystal Palace,34-005,1991,5.1,262,17,103,124,35,3,262,1,0,0.0,1,100.0,155,642,306,6,2,3,4,2,172,8,Matches
Conor Coady,eng ENG,DF,Leicester City,32-044,1993,12.0,772,139,416,344,12,3,772,1,1,100.0,0,0.0,511,2169,1173,2,2,1,4,2,568,0,Matches
Séamus Coleman,ie IRL,DF,Everton,36-181,1988,2.2,100,11,39,43,19,2,100,5,4,80.0,1,20.0,43,225,109,1,1,0,1,1,51,2,Matches
Nathan Collins,ie IRL,DF,Brentford,23-345,2001,31.0,2037,327,1076,822,149,58,2037,12,6,50.0,5,41.7,1069,5784,3358,24,8,0,15,8,1240,17,Matches
Toby Collyer,eng ENG,MF,Manchester Utd,21-097,2004,2.0,129,9,46,59,25,3,129,2,1,50.0,1,50.0,68,239,56,0,0,0,11,1,71,2,Matches
Levi Colwill,eng ENG,DF,Chelsea,22-043,2003,28.0,2406,300,1110,1204,100,25,2406,8,5,62.5,3,37.5,1368,6203,3424,10,10,1,10,7,1766,7,Matches
Lewis Cook,eng ENG,"MF,DF",Bournemouth,28-066,1997,28.6,1676,72,387,882,426,19,1676,16,10,62.5,6,37.5,742,3718,2048,33,26,4,28,15,835,46,Matches
Maxwel Cornet,ci CIV,FW,Southampton,28-195,1996,0.8,34,1,8,14,13,2,34,1,0,0.0,1,100.0,16,73,26,1,0,1,3,0,23,5,Matches
Vladimír Coufal,cz CZE,DF,West Ham,32-231,1992,8.2,484,48,188,191,106,8,484,7,2,28.6,2,28.6,190,932,425,11,4,1,8,5,252,21,Matches
Woyo Coulibaly,fr FRA,DF,Leicester City,25-325,1999,1.2,76,8,27,31,20,4,76,1,0,0.0,1,100.0,48,288,169,4,2,1,4,0,36,2,Matches
Aaron Cresswell,eng ENG,DF,West Ham,35-116,1989,6.5,495,33,196,236,68,1,495,1,1,100.0,0,0.0,200,773,388,4,7,0,3,0,312,2,Matches
Marc Cucurella,es ESP,DF,Chelsea,26-262,1998,26.2,1788,91,543,827,425,59,1788,12,4,33.3,7,58.3,767,3210,1892,29,14,2,25,5,1125,96,Matches
Jorge Cuenca,es ESP,DF,Fulham,25-144,1999,2.9,152,23,88,59,6,1,152,2,2,100.0,0,0.0,65,235,116,0,1,0,1,0,92,0,Matches
Matheus Cunha,br BRA,"MF,FW",Wolves,25-318,1999,23.8,1267,20,156,579,577,106,1266,115,49,42.6,52,45.2,715,5449,2702,92,74,32,67,42,839,137,Matches
Patson Daka,zm ZAM,"FW,MF",Leicester City,26-183,1998,6.5,212,8,36,99,81,20,212,15,2,13.3,10,66.7,119,589,255,8,6,2,16,10,141,30,Matches
Diogo Dalot,pt POR,DF,Manchester Utd,26-023,1999,29.6,1889,113,638,739,526,64,1889,47,24,51.1,19,40.4,1077,4742,2578,60,36,15,35,17,1141,157,Matches
Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,24-281,2000,25.9,1526,32,272,693,583,65,1526,84,44,52.4,30,35.7,863,4780,2453,59,38,8,53,40,1014,110,Matches
Danilo,br BRA,"MF,FW",Nott'ham Forest,23-346,2001,2.3,111,6,33,67,12,0,111,5,2,40.0,3,60.0,41,202,55,2,0,0,6,0,69,1,Matches
Jayden Danns,eng ENG,MF,Liverpool,19-084,2006,0.1,2,0,0,0,2,0,2,0,0,,0,,1,2,1,0,0,0,0,1,1,0,Matches
Kevin Danso,at AUT,DF,Tottenham,26-203,1998,3.9,334,42,179,141,15,7,334,2,1,50.0,1,50.0,242,1075,466,2,0,0,6,0,254,0,Matches
Ben Davies,wls WAL,DF,Tottenham,31-351,1993,9.0,748,134,391,324,33,9,748,1,1,100.0,0,0.0,437,2122,1167,6,5,0,2,0,505,5,Matches
Leif Davis,eng ENG,DF,Ipswich Town,25-088,2000,27.5,1421,108,497,469,474,36,1421,37,13,35.1,17,45.9,642,3504,1900,47,27,10,35,14,755,117,Matches
Craig Dawson,eng ENG,DF,Wolves,34-339,1990,10.8,671,130,396,249,28,14,671,5,1,20.0,2,40.0,390,1819,938,6,1,0,2,0,443,5,Matches
Kevin De Bruyne,be BEL,MF,Manchester City,33-286,1991,13.3,982,10,62,330,597,56,982,27,10,37.0,14,51.9,568,2978,1614,39,37,15,20,23,743,112,Matches
Liam Delap,eng ENG,FW,Ipswich Town,22-061,2003,25.8,612,28,71,254,303,83,610,74,35,47.3,31,41.9,403,2959,1387,57,41,27,92,54,485,100,Matches
Sepp van den Berg,nl NED,DF,Brentford,23-111,2001,21.7,1209,218,603,459,149,38,1209,7,4,57.1,3,42.9,509,2398,1187,7,9,0,13,5,665,26,Matches
Justin Devenny,nir NIR,MF,Crystal Palace,21-181,2003,3.7,192,6,38,94,65,5,192,4,2,50.0,2,50.0,83,429,199,3,4,1,9,2,113,9,Matches
Kiernan Dewsbury-Hall,eng ENG,"MF,FW",Chelsea,26-216,1998,2.9,180,4,28,94,58,6,180,4,2,50.0,2,50.0,93,474,221,5,1,0,1,3,136,11,Matches
Amad Diallo,ci CIV,"FW,MF",Manchester Utd,22-273,2002,17.7,1012,13,150,374,504,109,1012,72,36,50.0,32,44.4,656,4482,2294,92,46,52,35,32,714,159,Matches
Rúben Dias,pt POR,DF,Manchester City,27-331,1997,18.2,1813,165,592,987,237,19,1813,3,2,66.7,1,33.3,1286,7393,4343,30,51,1,5,1,1474,6,Matches
Luis Díaz,co COL,FW,Liverpool,28-087,1997,21.9,1014,13,71,355,607,141,1014,104,46,44.2,47,45.2,672,5055,2648,98,48,53,49,41,796,246,Matches
Tyler Dibling,eng ENG,"FW,MF",Southampton,19-029,2006,18.0,761,19,98,353,329,39,761,99,42,42.4,36,36.4,488,3942,1970,63,45,26,39,49,568,85,Matches
Lucas Digne,fr FRA,DF,Aston Villa,31-264,1993,23.9,1422,86,485,434,513,28,1422,18,9,50.0,8,44.4,652,2822,1253,21,14,4,17,15,778,135,Matches
Issa Diop,fr FRA,DF,Fulham,28-091,1997,14.9,903,125,498,381,26,13,903,2,1,50.0,1,50.0,533,2426,1216,6,2,0,9,2,617,3,Matches
Axel Disasi,fr FRA,DF,Aston Villa,27-030,1998,5.1,324,32,125,174,28,6,324,15,9,60.0,6,40.0,204,1250,618,10,8,2,3,2,219,5,Matches
Axel Disasi,fr FRA,DF,Chelsea,27-030,1998,4.0,323,17,110,175,40,2,323,1,1,100.0,0,0.0,196,953,519,6,3,0,1,3,242,2,Matches
Roman Dixon,eng ENG,DF,Everton,20-105,2004,1.0,36,8,19,14,4,0,36,3,0,0.0,3,100.0,16,107,48,0,0,0,2,0,13,1,Matches
Nasser Djiga,bf BFA,DF,Wolves,22-146,2002,0.2,16,2,8,8,0,0,16,0,0,,0,,7,25,0,0,0,0,1,2,7,1,Matches
Matt Doherty,ie IRL,DF,Wolves,33-084,1992,19.6,1293,106,498,637,175,25,1293,20,11,55.0,6,30.0,684,3194,1943,29,19,4,11,5,811,39,Matches
Jeremy Doku,be BEL,"FW,MF",Manchester City,22-318,2002,14.1,844,4,40,198,628,116,844,166,92,55.4,48,28.9,650,6097,3833,166,77,77,48,50,700,223,Matches
Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,26-286,1998,16.6,937,60,233,490,222,23,937,8,3,37.5,3,37.5,357,1406,654,12,9,2,16,9,516,22,Matches
