Player,Nation,Pos,Squad,shooting_Age,shooting_Born,shooting_90s,shooting_Standard_Gls,shooting_Standard_Sh,shooting_Standard_SoT,shooting_Standard_SoT%,shooting_Standard_Sh/90,shooting_Standard_SoT/90,shooting_Standard_G/Sh,shooting_Standard_G/SoT,shooting_Standard_Dist,shooting_Standard_FK,shooting_Standard_PK,shooting_Standard_PKatt,shooting_Expected_xG,shooting_Expected_npxG,shooting_Expected_npxG/Sh,shooting_Expected_G-xG,shooting_Expected_np:G-xG,shooting_Matches
Matt Doherty,ie IRL,DF,Wolves,33-085,1992,19.6,2,10,3,30.0,0.51,0.15,0.20,0.67,11.4,0,0,0,1.0,1.0,0.10,+1.0,+1.0,Matches
Jeremy Doku,be BEL,"FW,MF",Manchester City,22-319,2002,14.1,3,23,9,39.1,1.63,0.64,0.13,0.33,18.3,0,0,0,1.0,1.0,0.04,+2.0,+2.0,Matches
Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,26-287,1998,16.6,0,17,7,41.2,1.02,0.42,0.00,0.00,18.5,0,0,0,1.4,1.4,0.08,-1.4,-1.4,Matches
Patrick Dorgu,dk DEN,DF,Manchester Utd,20-167,2004,4.5,0,8,2,25.0,1.79,0.45,0.00,0.00,15.3,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Alfie Dorrington,eng ENG,DF,Tottenham,19-356,2005,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Abdoulaye Doucouré,ml MLI,MF,Everton,32-100,1993,23.9,2,24,7,29.2,1.00,0.29,0.08,0.29,13.8,0,0,0,3.2,3.2,0.13,-1.2,-1.2,Matches
Cheick Doucouré,ml MLI,MF,Crystal Palace,25-093,2000,5.0,0,7,0,0.0,1.39,0.00,0.00,,20.6,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
Flynn Downes,eng ENG,MF,Southampton,26-081,1999,17.9,1,9,3,33.3,0.50,0.17,0.11,0.33,17.6,0,0,0,0.6,0.6,0.07,+0.4,+0.4,Matches
Tommy Doyle,eng ENG,MF,Wolves,23-176,2001,5.4,0,9,2,22.2,1.66,0.37,0.00,0.00,24.5,1,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches
Radu Drăgușin,ro ROU,DF,Tottenham,23-067,2002,13.9,0,5,1,20.0,0.36,0.07,0.00,0.00,12.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Martin Dúbravka,sk SVK,GK,Newcastle Utd,36-086,1989,10.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Lewis Dunk,eng ENG,DF,Brighton,33-141,1991,19.1,0,10,2,20.0,0.52,0.10,0.00,0.00,13.4,1,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
Jáder Durán,co COL,FW,Aston Villa,21-119,2003,7.1,7,31,15,48.4,4.37,2.12,0.23,0.47,15.6,0,0,0,4.9,4.9,0.16,+2.1,+2.1,Matches
Ederson,br BRA,GK,Manchester City,31-237,1993,21.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
George Edmundson,eng ENG,DF,Ipswich Town,27-223,1997,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Odsonne Édouard,fr FRA,"MF,FW",Crystal Palace,27-085,1998,1.3,0,5,1,20.0,3.91,0.78,0.00,0.00,20.9,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
Odsonne Édouard,fr FRA,FW,Leicester City,27-085,1998,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Samuel Edozie,eng ENG,"DF,FW",Southampton,22-073,2003,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ronnie Edwards,eng ENG,DF,Southampton,22-014,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Anthony Elanga,se SWE,FW,Nott'ham Forest,22-349,2002,21.9,6,35,16,45.7,1.59,0.73,0.17,0.38,16.8,4,0,0,3.9,3.9,0.11,+2.1,+2.1,Matches
Harvey Elliott,eng ENG,"MF,FW",Liverpool,22-007,2003,1.8,0,9,2,22.2,4.94,1.10,0.00,0.00,16.0,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
Yunus Emre Konak,tr TUR,"FW,MF",Brentford,19-091,2006,0.3,0,1,0,0.0,2.90,0.00,0.00,,21.4,0,0,0,0.2,0.2,0.15,-0.2,-0.2,Matches
Julio Enciso,py PAR,"FW,MF",Ipswich Town,21-078,2004,4.8,0,15,5,33.3,3.14,1.05,0.00,0.00,23.2,1,0,0,0.7,0.7,0.04,-0.7,-0.7,Matches
Julio Enciso,py PAR,"MF,FW",Brighton,21-078,2004,3.3,0,20,11,55.0,6.12,3.37,0.00,0.00,21.3,1,0,0,1.0,1.0,0.05,-1.0,-1.0,Matches
Wataru Endo,jp JPN,MF,Liverpool,32-061,1993,1.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Christian Eriksen,dk DEN,MF,Manchester Utd,33-056,1992,9.0,0,6,0,0.0,0.66,0.00,0.00,,25.0,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Romain Esse,eng ENG,MF,Crystal Palace,19-333,2005,0.1,1,1,1,100.0,11.25,11.25,1.00,1.00,2.8,0,0,0,0.3,0.3,0.32,+0.7,+0.7,Matches
Pervis Estupiñán,ec ECU,DF,Brighton,27-080,1998,20.7,1,18,5,27.8,0.87,0.24,0.06,0.20,25.3,3,0,0,0.7,0.7,0.04,+0.3,+0.3,Matches
Evanilson,br BRA,FW,Bournemouth,25-187,1999,19.1,9,55,27,49.1,2.87,1.41,0.16,0.33,13.0,0,0,1,10.3,9.5,0.17,-1.3,-0.5,Matches
Jonny Evans,nir NIR,DF,Manchester Utd,37-098,1988,3.2,0,1,0,0.0,0.31,0.00,0.00,,8.4,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Matches
Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,26-286,1998,23.3,2,87,22,25.3,3.74,0.95,0.02,0.09,21.1,14,0,0,6.4,6.4,0.07,-4.4,-4.4,Matches
Łukasz Fabiański,pl POL,GK,West Ham,39-358,1985,11.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Wout Faes,be BEL,DF,Leicester City,27-008,1998,25.3,1,11,1,9.1,0.44,0.04,0.09,1.00,10.0,0,0,0,1.4,1.4,0.12,-0.4,-0.4,Matches
Abdul Fatawu Issahaku,gh GHA,FW,Leicester City,21-034,2004,6.4,0,13,5,38.5,2.02,0.78,0.00,0.00,31.2,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
João Félix,pt POR,"FW,MF",Chelsea,25-152,1999,4.1,1,20,5,25.0,4.88,1.22,0.05,0.20,15.9,0,0,0,2.2,2.2,0.11,-1.2,-1.2,Matches
Evan Ferguson,ie IRL,FW,West Ham,20-174,2004,1.6,0,5,1,20.0,3.21,0.64,0.00,0.00,17.2,0,0,0,0.6,0.6,0.11,-0.6,-0.6,Matches
Evan Ferguson,ie IRL,FW,Brighton,20-174,2004,2.7,1,7,2,28.6,2.56,0.73,0.14,0.50,19.2,1,0,0,0.5,0.5,0.08,+0.5,+0.5,Matches
Bruno Fernandes,pt POR,MF,Manchester Utd,30-215,1994,28.4,8,76,23,30.3,2.68,0.81,0.07,0.22,21.7,11,3,3,8.8,6.5,0.09,-0.8,-1.5,Matches
Mateus Fernandes,pt POR,MF,Southampton,20-275,2004,25.8,2,36,13,36.1,1.40,0.50,0.06,0.15,18.3,3,0,0,3.7,3.7,0.10,-1.7,-1.7,Matches
Enzo Fernández,ar ARG,MF,Chelsea,24-084,2001,25.8,5,45,16,35.6,1.75,0.62,0.11,0.31,18.5,2,0,0,5.1,5.1,0.11,-0.1,-0.1,Matches
Mark Flekken,nl NED,GK,Brentford,31-302,1993,29.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Phil Foden,eng ENG,"MF,FW",Manchester City,24-318,2000,18.7,7,52,16,30.8,2.78,0.85,0.13,0.44,18.5,2,0,0,5.1,5.1,0.10,+1.9,+1.9,Matches
Wesley Fofana,fr FRA,DF,Chelsea,24-115,2000,13.0,0,3,0,0.0,0.23,0.00,0.00,,10.6,0,0,0,0.4,0.4,0.13,-0.4,-0.4,Matches
Carlos Forbs,pt POR,"MF,FW",Wolves,21-023,2004,2.6,0,2,0,0.0,0.76,0.00,0.00,,19.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Fraser Forster,eng ENG,GK,Tottenham,37-025,1988,7.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Matheus França,br BRA,"MF,DF",Crystal Palace,21-010,2004,0.2,1,2,1,50.0,12.00,6.00,0.50,1.00,15.0,0,0,0,0.1,0.1,0.03,+0.9,+0.9,Matches
Ryan Fraser,sct SCO,"FW,DF",Southampton,31-046,1994,3.4,0,1,1,100.0,0.29,0.29,0.00,0.00,31.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Niclas Füllkrug,de GER,FW,West Ham,32-061,1993,5.0,3,11,4,36.4,2.19,0.80,0.27,0.75,10.6,0,0,0,1.7,1.7,0.15,+1.3,+1.3,Matches
Cody Gakpo,nl NED,FW,Liverpool,25-339,1999,16.3,8,44,17,38.6,2.69,1.04,0.18,0.47,15.4,0,0,0,6.0,6.0,0.14,+2.0,+2.0,Matches
Idrissa Gana Gueye,sn SEN,MF,Everton,35-197,1989,27.2,0,24,4,16.7,0.88,0.15,0.00,0.00,25.2,0,0,0,1.0,1.0,0.04,-1.0,-1.0,Matches
Andrés García,es ESP,"DF,MF",Aston Villa,22-063,2003,3.5,0,2,0,0.0,0.58,0.00,0.00,,26.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Alejandro Garnacho,ar ARG,"MF,FW",Manchester Utd,20-284,2004,20.2,4,70,25,35.7,3.46,1.23,0.06,0.16,17.0,0,0,0,6.0,6.0,0.09,-2.0,-2.0,Matches
James Garner,eng ENG,"MF,DF",Everton,24-029,2001,10.7,0,5,1,20.0,0.47,0.09,0.00,0.00,26.2,1,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Tyrique George,eng ENG,FW,Chelsea,19-066,2006,1.0,0,2,0,0.0,2.02,0.00,0.00,,11.9,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Morgan Gibbs-White,eng ENG,MF,Nott'ham Forest,25-074,2000,24.4,5,47,16,34.0,1.92,0.66,0.11,0.31,16.1,3,0,0,4.2,4.2,0.09,+0.8,+0.8,Matches
Billy Gilmour,sct SCO,MF,Brighton,23-304,2001,1.1,0,1,0,0.0,0.92,0.00,0.00,,25.5,1,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
Ben Godfrey,eng ENG,DF,Ipswich Town,27-086,1998,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Martial Godo,eng ENG,FW,Fulham,22-028,2003,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
João Gomes,br BRA,MF,Wolves,24-058,2001,27.0,3,30,7,23.3,1.11,0.26,0.10,0.43,17.8,0,0,0,2.6,2.6,0.09,+0.4,+0.4,Matches
Rodrigo Gomes,pt POR,"DF,FW",Wolves,21-278,2003,6.6,1,4,2,50.0,0.61,0.30,0.25,0.50,15.9,0,0,0,0.4,0.4,0.09,+0.6,+0.6,Matches
Toti Gomes,pt POR,DF,Wolves,26-085,1999,22.0,0,7,2,28.6,0.32,0.09,0.00,0.00,11.6,0,0,0,0.7,0.7,0.10,-0.7,-0.7,Matches
Diego Gómez,py PAR,MF,Brighton,22-015,2003,4.4,0,3,0,0.0,0.68,0.00,0.00,,20.3,1,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches
Joe Gomez,eng ENG,DF,Liverpool,27-323,1997,5.8,0,3,2,66.7,0.52,0.35,0.00,0.00,11.9,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches
Nicolás González,es ESP,MF,Manchester City,23-098,2002,5.3,0,6,0,0.0,1.13,0.00,0.00,,22.0,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Anthony Gordon,eng ENG,FW,Newcastle Utd,24-046,2001,23.4,6,52,15,28.8,2.22,0.64,0.10,0.33,16.2,1,1,2,7.8,6.3,0.12,-1.8,-1.3,Matches
Ryan Gravenberch,nl NED,MF,Liverpool,22-330,2002,29.5,0,15,4,26.7,0.51,0.14,0.00,0.00,24.0,0,0,0,0.9,0.9,0.06,-0.9,-0.9,Matches
Archie Gray,eng ENG,"DF,MF",Tottenham,19-030,2006,14.0,0,1,1,100.0,0.07,0.07,0.00,0.00,24.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Jack Grealish,eng ENG,"FW,MF",Manchester City,29-213,1995,8.0,1,15,5,33.3,1.89,0.63,0.07,0.20,16.3,0,0,0,1.1,1.1,0.08,-0.1,-0.1,Matches
Jacob Greaves,eng ENG,DF,Ipswich Town,24-211,2000,18.5,1,8,4,50.0,0.43,0.22,0.13,0.25,8.3,0,0,0,1.2,1.2,0.16,-0.2,-0.2,Matches
Brajan Gruda,de GER,"FW,MF",Brighton,20-315,2004,5.4,0,3,2,66.7,0.55,0.37,0.00,0.00,18.6,2,0,0,0.3,0.3,0.10,-0.3,-0.3,Matches
Albert Grønbaek,dk DEN,"FW,MF",Southampton,23-323,2001,1.6,0,2,0,0.0,1.26,0.00,0.00,,22.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Gonçalo Guedes,pt POR,"MF,FW",Wolves,28-133,1996,8.6,2,18,7,38.9,2.10,0.82,0.11,0.29,19.9,0,0,0,2.2,2.2,0.12,-0.2,-0.2,Matches
Marc Guéhi,eng ENG,DF,Crystal Palace,24-272,2000,29.0,3,12,6,50.0,0.41,0.21,0.25,0.50,9.8,0,0,0,1.7,1.7,0.14,+1.3,+1.3,Matches
Luis Guilherme,br BRA,"MF,FW",West Ham,19-061,2006,1.2,0,2,0,0.0,1.65,0.00,0.00,,16.4,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Bruno Guimarães,br BRA,MF,Newcastle Utd,27-146,1997,28.6,3,31,7,22.6,1.08,0.24,0.10,0.43,17.1,0,0,0,2.8,2.8,0.09,+0.2,+0.2,Matches
Marc Guiu,es ESP,FW,Chelsea,19-097,2006,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
İlkay Gündoğan,de GER,MF,Manchester City,34-169,1990,18.9,0,20,4,20.0,1.06,0.21,0.00,0.00,19.2,2,0,0,1.8,1.8,0.09,-1.8,-1.8,Matches
Malo Gusto,fr FRA,DF,Chelsea,21-327,2003,19.2,0,21,3,14.3,1.09,0.16,0.00,0.00,21.2,0,0,0,1.7,1.7,0.08,-1.7,-1.7,Matches
Joško Gvardiol,hr CRO,DF,Manchester City,23-078,2002,29.4,5,35,11,31.4,1.19,0.37,0.14,0.45,13.3,0,0,0,4.2,3.9,0.11,+0.8,+1.1,Matches
Erling Haaland,no NOR,FW,Manchester City,24-264,2000,27.6,21,99,54,54.5,3.59,1.96,0.19,0.35,12.2,1,2,3,20.8,18.4,0.19,+0.2,+0.6,Matches
Lewis Hall,eng ENG,DF,Newcastle Utd,20-215,2004,24.3,0,11,1,9.1,0.45,0.04,0.00,0.00,18.8,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
Ali Al Hamadi,iq IRQ,FW,Ipswich Town,23-041,2002,1.5,0,4,0,0.0,2.69,0.00,0.00,,15.7,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
Marcus Harness,eng ENG,MF,Ipswich Town,29-046,1996,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jack Harrison,eng ENG,FW,Everton,28-142,1996,18.4,1,25,6,24.0,1.36,0.33,0.04,0.17,15.8,0,0,0,3.1,3.1,0.12,-2.1,-2.1,Matches
Taylor Harwood-Bellis,eng ENG,DF,Southampton,23-071,2002,25.6,1,18,7,38.9,0.70,0.27,0.06,0.14,10.2,0,0,0,1.7,1.7,0.10,-0.7,-0.7,Matches
Kai Havertz,de GER,"FW,MF",Arsenal,25-304,1999,20.4,9,52,21,40.4,2.54,1.03,0.17,0.43,11.7,0,0,0,9.4,9.4,0.18,-0.4,-0.4,Matches
Ayden Heaven,eng ENG,DF,Manchester Utd,18-201,2006,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jan Paul van Hecke,nl NED,DF,Brighton,24-307,2000,27.9,1,16,5,31.3,0.57,0.18,0.06,0.20,14.1,0,0,0,1.3,1.3,0.08,-0.3,-0.3,Matches
Hwang Hee-chan,kr KOR,"MF,FW",Wolves,29-075,1996,7.1,2,5,3,60.0,0.71,0.42,0.40,0.67,17.4,0,0,0,0.8,0.8,0.16,+1.2,+1.2,Matches
Dean Henderson,eng ENG,GK,Crystal Palace,28-030,1997,30.0,0,1,0,0.0,0.03,0.00,0.00,,14.9,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
Rico Henry,eng ENG,DF,Brentford,27-277,1997,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Mads Hermansen,dk DEN,GK,Leicester City,24-274,2000,23.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Son Heung-min,kr KOR,FW,Tottenham,32-277,1992,22.3,7,53,24,45.3,2.38,1.08,0.11,0.25,17.0,1,1,2,7.0,5.4,0.10,0.0,+0.6,Matches
James Hill,eng ENG,DF,Bournemouth,23-091,2002,5.0,0,6,0,0.0,1.21,0.00,0.00,,13.9,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
Jack Hinshelwood,eng ENG,"DF,MF",Brighton,20-000,2005,15.7,2,12,5,41.7,0.76,0.32,0.17,0.40,13.6,0,0,0,1.4,1.4,0.11,+0.6,+0.6,Matches
George Hirst,sct SCO,FW,Ipswich Town,26-055,1999,3.3,2,6,4,66.7,1.80,1.20,0.33,0.50,10.1,0,0,0,1.1,1.1,0.18,+0.9,+0.9,Matches
Mason Holgate,eng ENG,"FW,DF",Everton,28-171,1996,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Callum Hudson-Odoi,eng ENG,FW,Nott'ham Forest,24-155,2000,22.0,5,35,15,42.9,1.59,0.68,0.14,0.33,18.4,0,0,0,2.4,2.4,0.07,+2.6,+2.6,Matches
Will Hughes,eng ENG,MF,Crystal Palace,29-359,1995,18.3,0,17,1,5.9,0.93,0.05,0.00,0.00,22.7,0,0,0,0.9,0.9,0.05,-0.9,-0.9,Matches
Dean Huijsen,es ESP,DF,Bournemouth,19-362,2005,20.8,2,15,2,13.3,0.72,0.10,0.13,1.00,10.2,0,0,0,1.7,1.7,0.11,+0.3,+0.3,Matches
Omari Hutchinson,eng ENG,"MF,FW",Ipswich Town,21-163,2003,24.7,3,36,16,44.4,1.46,0.65,0.08,0.19,20.8,4,0,0,2.3,2.3,0.06,+0.7,+0.7,Matches
Rasmus Højlund,dk DEN,FW,Manchester Utd,22-066,2003,17.2,3,21,9,42.9,1.22,0.52,0.14,0.33,13.8,0,0,0,3.0,3.0,0.14,0.0,0.0,Matches
Igor,br BRA,DF,Brighton,27-063,1998,10.0,0,1,0,0.0,0.10,0.00,0.00,,14.1,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
Danny Ings,eng ENG,"FW,MF",West Ham,32-262,1992,3.2,1,14,5,35.7,4.44,1.58,0.07,0.20,15.5,0,0,0,2.3,2.3,0.16,-1.3,-1.3,Matches
Tim Iroegbunam,eng ENG,MF,Everton,21-285,2003,6.2,0,5,0,0.0,0.81,0.00,0.00,,22.5,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Andy Irving,sct SCO,MF,West Ham,24-333,2000,1.8,0,4,2,50.0,2.17,1.08,0.00,0.00,26.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Alexander Isak,se SWE,FW,Newcastle Utd,25-202,1999,24.3,20,73,32,43.8,3.00,1.32,0.25,0.56,14.5,3,2,2,16.3,14.7,0.20,+3.7,+3.3,Matches
Alex Iwobi,ng NGA,"FW,MF",Fulham,28-343,1996,27.4,8,57,25,43.9,2.08,0.91,0.14,0.32,18.3,0,0,0,4.1,4.1,0.07,+3.9,+3.9,Matches
Nicolas Jackson,sn SEN,FW,Chelsea,23-295,2001,20.7,9,67,31,46.3,3.24,1.50,0.13,0.29,12.4,0,0,0,11.7,11.7,0.18,-2.7,-2.7,Matches
Reece James,eng ENG,"DF,MF",Chelsea,25-124,1999,8.5,1,7,2,28.6,0.82,0.23,0.14,0.50,22.2,1,0,0,0.2,0.2,0.03,+0.8,+0.8,Matches
Vitaly Janelt,de GER,MF,Brentford,26-336,1998,24.2,1,14,4,28.6,0.58,0.16,0.07,0.25,17.7,0,0,0,0.8,0.8,0.06,+0.2,+0.2,Matches
Vitezslav Jaros,cz CZE,GK,Liverpool,23-262,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Daniel Jebbison,eng ENG,FW,Bournemouth,21-241,2003,0.8,0,2,1,50.0,2.40,1.20,0.00,0.00,12.3,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches
Mathias Jensen,dk DEN,MF,Brentford,29-100,1996,8.3,0,6,1,16.7,0.73,0.12,0.00,0.00,23.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Gabriel Jesus,br BRA,FW,Arsenal,28-008,1997,6.8,3,20,7,35.0,2.96,1.04,0.15,0.43,11.1,0,0,0,3.0,3.0,0.15,0.0,0.0,Matches
Raúl Jiménez,mx MEX,FW,Fulham,33-341,1991,21.4,10,76,26,34.2,3.55,1.21,0.09,0.27,14.7,0,3,3,10.4,8.1,0.11,-0.4,-1.1,Matches
Kim Jisoo,kr KOR,DF,Brentford,20-108,2004,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
João Pedro,br BRA,"FW,MF",Brighton,23-197,2001,20.0,8,40,15,37.5,2.00,0.75,0.13,0.33,16.4,0,3,3,7.2,4.8,0.12,+0.8,+0.2,Matches
Joelinton,br BRA,"MF,FW",Newcastle Utd,28-240,1996,24.0,4,43,13,30.2,1.79,0.54,0.09,0.31,14.0,0,0,0,3.9,3.9,0.09,+0.1,+0.1,Matches
Ben Johnson,eng ENG,"DF,FW",Ipswich Town,25-077,2000,12.6,0,6,2,33.3,0.48,0.16,0.00,0.00,13.7,0,0,0,0.9,0.9,0.15,-0.9,-0.9,Matches
Brennan Johnson,wls WAL,FW,Tottenham,23-323,2001,20.9,11,52,20,38.5,2.49,0.96,0.21,0.55,11.3,0,0,0,9.8,9.8,0.19,+1.2,+1.2,Matches
Sam Johnstone,eng ENG,GK,Wolves,32-017,1993,7.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Curtis Jones,eng ENG,"MF,DF",Liverpool,24-071,2001,15.0,3,28,11,39.3,1.87,0.73,0.11,0.27,15.2,0,0,0,4.1,4.1,0.15,-1.1,-1.1,Matches
Jorginho,it ITA,MF,Arsenal,33-112,1991,6.8,0,1,0,0.0,0.15,0.00,0.00,,22.5,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Diogo Jota,pt POR,FW,Liverpool,28-128,1996,10.9,6,41,13,31.7,3.75,1.19,0.15,0.46,12.7,0,0,0,6.8,6.8,0.17,-0.8,-0.8,Matches
James Justin,eng ENG,DF,Leicester City,27-047,1998,27.1,2,24,6,25.0,0.89,0.22,0.08,0.33,16.0,2,0,0,1.5,1.5,0.06,+0.5,+0.5,Matches
Filip Jørgensen,dk DEN,GK,Chelsea,22-360,2002,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ferdi Kadioglu,tr TUR,"DF,MF",Brighton,25-186,1999,4.3,1,4,1,25.0,0.94,0.23,0.25,1.00,15.1,0,0,0,0.4,0.4,0.11,+0.6,+0.6,Matches
Daichi Kamada,jp JPN,MF,Crystal Palace,28-249,1996,12.3,0,14,4,28.6,1.14,0.32,0.00,0.00,20.3,0,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches
Boubacar Kamara,fr FRA,MF,Aston Villa,25-139,1999,13.3,0,6,1,16.7,0.45,0.07,0.00,0.00,19.7,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
Michael Kayode,it ITA,DF,Brentford,20-275,2004,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Michael Keane,eng ENG,DF,Everton,32-090,1993,9.0,2,8,3,37.5,0.89,0.33,0.25,0.67,14.8,0,0,0,0.4,0.4,0.05,+1.6,+1.6,Matches
Caoimhín Kelleher,ie IRL,GK,Liverpool,26-139,1998,10.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Lloyd Kelly,eng ENG,DF,Newcastle Utd,26-187,1998,3.4,0,3,0,0.0,0.89,0.00,0.00,,7.3,0,0,0,0.4,0.4,0.14,-0.4,-0.4,Matches
Milos Kerkez,hu HUN,DF,Bournemouth,21-155,2003,30.2,2,17,5,29.4,0.56,0.17,0.12,0.40,20.4,0,0,0,0.5,0.5,0.03,+1.5,+1.5,Matches
Bilal El Khannouss,ma MAR,MF,Leicester City,20-336,2004,18.4,2,20,5,25.0,1.09,0.27,0.10,0.40,22.7,0,0,0,0.7,0.7,0.04,+1.3,+1.3,Matches
Abdukodir Khusanov,uz UZB,DF,Manchester City,21-041,2004,5.6,0,1,0,0.0,0.18,0.00,0.00,,23.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Max Kilman,eng ENG,DF,West Ham,27-323,1997,30.2,0,11,2,18.2,0.36,0.07,0.00,0.00,8.4,0,0,0,1.4,1.4,0.13,-1.4,-1.4,Matches
Joshua King,eng ENG,"MF,FW",Fulham,18-098,2007,0.9,0,1,0,0.0,1.13,0.00,0.00,,5.3,0,0,0,0.2,0.2,0.20,-0.2,-0.2,Matches
Antonín Kinský,cz CZE,GK,Tottenham,22-029,2003,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jakub Kiwior,pl POL,DF,Arsenal,25-055,2000,5.5,0,1,0,0.0,0.18,0.00,0.00,,18.3,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
