,Team,median of Age,mean of Age,std of Age,median of Matches Played,mean of Matches Played,std of Matches Played,median of Starts,mean of Starts,std of Starts,median of Minutes,mean of Minutes,std of Minutes,median of Goals,mean of Goals,std of Goals,median of Assists,mean of Assists,std of Assists,median of Yellow Cards,mean of Yellow Cards,std of Yellow Cards,median of Red Cards,mean of Red Cards,std of Red Cards,median of Expected Goals,mean of Expected Goals,std of Expected Goals,median of Expedted Assist Goals,mean of Expedted Assist Goals,std of Expedted Assist Goals,median of PrgC,mean of PrgC,std of PrgC,median of PrgP,mean of PrgP,std of PrgP,median of PrgR,mean of PrgR,std of PrgR,median of Gls,mean of Gls,std of Gls,median of Ast,mean of Ast,std of Ast,median of xG,mean of xG,std of xG,median of xAG,mean of xAG,std of xAG,median of GA90,mean of GA90,std of GA90,median of Save%,mean of Save%,std of Save%,median of CS%,mean of CS%,std of CS%,median of Penalty Kicks Save%,mean of Penalty Kicks Save%,std of Penalty Kicks Save%,median of SoT%,mean of SoT%,std of SoT%,median of SoT/90,mean of SoT/90,std of SoT/90,median of G/sh,mean of G/sh,std of G/sh,median of Dist,mean of Dist,std of Dist,median of Passes Completed,mean of Passes Completed,std of Passes Completed,median of Pass Completion,mean of Pass Completion,std of Pass Completion,median of TotDist,mean of TotDist,std of TotDist,median of Short Pass completion,mean of Short Pass completion,std of Short Pass completion,median of Medium Pass completion,mean of Medium Pass completion,std of Medium Pass completion,median of Long Pass completion,mean of Long Pass completion,std of Long Pass completion,median of KP,mean of KP,std of KP,median of pass into final third 1/3,mean of pass into final third 1/3,std of pass into final third 1/3,median of PPA,mean of PPA,std of PPA,median of CrsPA,mean of CrsPA,std of CrsPA,median of Expected PrgP,mean of Expected PrgP,std of Expected PrgP,median of SCA,mean of SCA,std of SCA,median of SCA90,mean of SCA90,std of SCA90,median of GCA,mean of GCA,std of GCA,median of GCA90,mean of GCA90,std of GCA90,median of Tkl,mean of Tkl,std of Tkl,median of TklW,mean of TklW,std of TklW,median of Att,mean of Att,std of Att,median of Lost,mean of Lost,std of Lost,median of Blocks,mean of Blocks,std of Blocks,median of Sh,mean of Sh,std of Sh,median of Pass,mean of Pass,std of Pass,median of Int,mean of Int,std of Int,median of Touches,mean of Touches,std of Touches,median of Def Pen,mean of Def Pen,std of Def Pen,median of Def 3rd,mean of Def 3rd,std of Def 3rd,median of Mid 3rd,mean of Mid 3rd,std of Mid 3rd,median of Att 3rd,mean of Att 3rd,std of Att 3rd,median of Att Pen,mean of Att Pen,std of Att Pen,median of Possession Att,mean of Possession Att,std of Possession Att,median of Succ%,mean of Succ%,std of Succ%,median of Tkld%,mean of Tkld%,std of Tkld%,median of Carries,mean of Carries,std of Carries,median of PrgDist,mean of PrgDist,std of PrgDist,median of ProgC,mean of ProgC,std of ProgC,median of Carries 1/3,mean of Carries 1/3,std of Carries 1/3,median of CPA,mean of CPA,std of CPA,median of Mis,mean of Mis,std of Mis,median of Dis,mean of Dis,std of Dis,median of Rec,mean of Rec,std of Rec,median of Possession PrgR,mean of Possession PrgR,std of Possession PrgR,median of Fls,mean of Fls,std of Fls,median of Fld,mean of Fld,std of Fld,median of Off,mean of Off,std of Off,median of Crs,mean of Crs,std of Crs,median of Recov,mean of Recov,std of Recov,median of Won,mean of Won,std of Won,median of Miscellaneous Stats Lost,mean of Miscellaneous Stats Lost,std of Miscellaneous Stats Lost,median of Won%,mean of Won%,std of Won%
0,All,26.57,26.9,4.23,23.0,21.04,9.79,15.0,15.43,10.81,1339.0,1383.81,914.27,1.0,2.01,3.51,1.0,1.49,2.22,2.0,2.96,2.61,0.0,0.09,0.31,0.9,2.03,3.07,0.9,1.5,1.87,15.0,26.23,30.71,37.0,51.72,49.96,25.0,51.08,63.97,0.03,0.12,0.18,0.04,0.09,0.12,0.07,0.13,0.16,0.07,0.1,0.1,1.47,1.63,0.65,68.3,67.16,8.24,18.8,24.35,22.35,0.0,18.53,29.76,30.0,29.57,19.93,0.23,0.4,0.47,0.06,0.08,0.1,16.4,16.78,5.09,452.0,556.34,460.49,80.0,79.28,8.24,7323.0,9562.16,8339.51,89.8,88.7,6.79,85.7,83.93,10.18,53.85,54.27,15.88,8.0,13.71,15.34,29.0,43.46,45.07,6.0,11.68,14.39,1.0,2.79,4.33,37.0,51.72,49.96,21.0,32.07,32.14,1.83,2.09,1.42,2.0,3.49,4.21,0.16,0.21,0.22,17.0,24.72,22.62,10.0,14.77,13.88,17.0,22.52,20.33,8.0,11.07,10.36,12.0,15.3,13.68,2.0,5.18,7.32,8.0,10.12,9.34,7.0,11.23,11.73,739.0,840.61,623.05,31.0,94.73,176.08,156.0,278.04,308.2,277.0,357.73,316.07,140.0,213.13,209.96,20.0,34.7,41.02,14.0,25.58,31.29,44.7,46.6,22.5,43.5,42.28,21.66,399.0,471.75,359.83,1037.0,1310.19,1098.91,15.0,26.23,30.71,13.0,17.66,18.32,2.0,8.16,14.26,13.0,19.07,19.45,8.0,13.26,14.8,483.0,550.64,421.68,25.0,51.08,63.97,12.0,15.53,13.8,10.0,15.05,14.7,1.0,2.39,3.96,9.0,24.65,35.93,45.0,58.37,46.39,10.0,18.18,21.25,13.0,18.16,18.5,50.0,48.87,21.72
1,Arsenal,26.88,26.49,3.82,23.5,23.27,8.07,16.5,17.5,10.4,1478.5,1564.45,902.98,2.0,2.82,2.81,1.5,2.32,2.75,2.5,2.91,1.97,0.0,0.23,0.53,1.65,2.56,2.64,0.9,1.93,2.19,23.0,35.32,32.7,56.5,77.0,62.44,52.0,75.95,77.49,0.11,0.16,0.16,0.11,0.14,0.15,0.1,0.15,0.14,0.09,0.12,0.12,0.89,0.89,N/a,74.1,74.1,N/a,34.3,34.3,N/a,0.0,0.0,N/a,30.9,27.86,16.68,0.22,0.41,0.41,0.14,0.14,0.13,15.0,14.64,4.97,468.5,717.68,560.34,82.95,82.32,6.27,7398.0,11757.95,9938.89,91.75,90.89,4.67,86.3,84.95,7.86,53.35,55.32,9.76,10.0,17.5,17.78,40.5,58.09,52.92,9.0,18.27,18.49,1.5,3.0,3.63,56.5,77.0,62.44,25.0,39.86,34.14,2.24,2.45,1.4,3.0,5.0,5.6,0.24,0.29,0.3,19.5,24.64,20.73,12.0,14.68,12.64,21.0,21.36,14.86,11.0,10.64,7.58,10.0,13.68,11.17,1.5,4.41,6.84,7.5,9.27,7.89,6.0,9.64,8.87,771.5,1008.95,673.68,25.0,75.82,170.01,125.0,254.45,337.03,296.0,439.0,390.89,225.0,323.09,237.02,38.5,53.77,50.36,23.5,30.59,29.15,44.65,49.27,22.44,36.4,37.4,18.06,427.0,593.27,410.16,1358.0,1677.64,1143.7,23.0,35.32,32.7,19.5,21.95,18.37,4.5,12.14,15.46,15.5,20.14,15.94,13.5,15.86,13.52,552.0,710.86,492.2,52.0,75.95,77.49,14.0,16.95,11.27,17.0,17.05,12.4,2.0,3.55,3.69,11.0,32.18,42.69,49.5,59.68,41.37,10.5,19.91,19.79,15.5,19.36,17.65,51.15,47.83,19.01
2,Aston Villa,27.63,27.14,4.04,20.5,19.43,10.33,9.5,13.75,11.66,1004.0,1235.36,943.18,1.0,1.89,3.29,0.0,1.5,2.4,2.0,2.43,2.25,0.0,0.07,0.26,0.8,1.95,2.97,0.45,1.43,2.01,16.5,23.79,23.66,34.0,44.18,48.2,21.0,43.75,52.0,0.04,0.17,0.28,0.0,0.09,0.11,0.08,0.19,0.25,0.05,0.09,0.1,1.68,1.68,0.45,61.15,61.15,7.85,58.8,58.8,58.27,50.0,50.0,N/a,27.8,29.02,21.7,0.2,0.46,0.68,0.06,0.07,0.08,16.7,16.89,4.49,402.5,491.0,427.64,81.95,81.24,7.19,5738.0,8421.57,7968.75,91.45,90.07,5.5,86.45,86.44,7.73,53.9,54.49,15.36,6.5,12.11,14.94,23.5,38.0,46.91,7.5,10.5,12.67,0.0,1.86,3.7,34.0,44.18,48.2,20.0,28.64,29.93,1.82,2.11,1.38,2.0,3.43,3.88,0.18,0.23,0.21,10.5,21.39,20.55,6.0,12.32,12.52,10.5,18.21,19.03,5.5,7.96,8.23,10.0,10.86,9.15,2.5,3.61,4.31,5.5,7.25,6.37,5.0,8.07,8.38,655.0,721.46,574.6,30.0,86.96,191.62,133.0,242.96,300.24,244.0,308.71,300.82,117.5,176.96,169.99,20.5,31.54,37.6,17.0,24.29,30.1,47.4,50.06,24.83,40.0,38.9,22.87,397.0,408.29,318.51,1086.5,1180.82,939.99,16.5,23.79,23.66,12.5,14.75,13.11,2.0,7.18,10.58,9.0,16.79,21.64,8.0,12.89,15.32,483.5,482.04,387.34,21.0,43.75,52.0,8.5,13.54,13.55,9.0,16.39,17.85,1.0,1.82,2.87,4.5,19.96,34.24,37.5,46.75,36.9,8.0,12.43,12.18,9.5,13.86,13.9,50.0,40.37,23.99
3,Bournemouth,26.0,26.47,3.84,26.0,22.22,10.18,17.0,16.7,11.63,1670.0,1494.61,1004.39,1.0,2.35,3.59,1.0,1.7,2.05,3.0,3.87,3.08,0.0,0.09,0.29,1.1,2.68,3.58,1.1,1.81,1.87,19.0,29.87,34.65,43.0,58.48,52.05,31.0,57.65,71.61,0.03,0.14,0.18,0.04,0.1,0.11,0.08,0.18,0.2,0.1,0.13,0.15,1.0,1.08,0.14,80.0,80.0,4.6,20.0,15.0,13.23,0.0,0.0,N/a,29.7,25.02,16.67,0.15,0.54,0.65,0.06,0.06,0.06,16.45,15.81,4.38,436.0,504.78,408.76,74.3,73.93,6.58,7088.0,9147.96,7897.39,88.0,86.84,7.09,78.3,81.62,10.8,47.8,46.66,17.89,11.0,17.78,16.56,37.0,48.22,47.73,7.0,13.22,13.87,2.0,4.04,5.53,43.0,58.48,52.05,28.0,40.78,36.35,2.35,2.57,1.87,2.0,3.96,4.19,0.21,0.23,0.21,21.0,27.96,23.43,10.0,16.13,14.51,25.0,25.61,21.31,13.0,13.57,10.71,16.0,18.83,16.69,3.0,5.74,7.26,8.0,13.09,12.64,10.0,14.39,15.62,783.0,852.48,626.55,44.0,90.26,153.47,159.0,257.3,280.45,316.0,365.96,322.88,133.0,239.74,238.2,19.0,39.52,48.08,16.0,27.09,32.49,41.15,43.23,19.23,45.1,42.83,19.17,483.0,458.35,342.5,1183.0,1442.09,1300.4,19.0,29.87,34.65,17.0,21.09,20.43,1.0,9.09,16.03,18.0,23.52,21.61,8.0,14.09,17.22,435.0,499.7,370.48,31.0,57.65,71.61,16.0,20.52,17.98,10.0,15.61,13.89,0.0,2.74,5.07,10.0,32.96,41.37,59.0,73.22,57.25,20.0,23.17,21.3,22.0,24.61,20.98,47.0,50.18,18.4
4,Brentford,24.84,26.2,3.91,27.0,22.86,11.15,21.0,17.81,12.96,1913.0,1592.33,1092.86,0.0,2.76,5.29,2.0,1.86,2.46,2.0,2.52,1.89,0.0,0.05,0.22,0.8,2.48,3.93,1.2,1.8,2.24,12.0,25.29,31.88,51.0,56.71,53.2,27.0,56.05,74.7,0.0,0.11,0.19,0.07,0.08,0.1,0.07,0.12,0.16,0.06,0.09,0.08,1.36,1.36,0.17,62.0,62.0,16.97,59.1,59.1,57.84,0.0,0.0,N/a,34.3,30.81,17.71,0.18,0.31,0.37,0.05,0.08,0.08,15.3,15.99,4.27,483.0,565.81,435.59,77.2,76.44,8.04,7530.0,10385.43,9215.52,87.4,86.34,8.07,79.9,81.95,10.03,55.1,55.09,13.54,8.0,14.1,17.22,41.0,46.76,39.72,7.0,13.76,18.47,2.0,3.81,5.28,51.0,56.71,53.2,21.0,33.24,35.14,1.72,1.86,1.14,2.0,4.76,5.73,0.2,0.25,0.23,25.0,26.71,21.54,17.0,16.24,12.7,25.0,24.76,20.13,10.0,11.62,10.41,17.0,20.38,18.69,4.0,8.38,12.38,13.0,12.0,10.01,8.0,12.48,12.04,780.0,910.48,654.11,51.0,142.62,283.88,226.0,357.33,411.39,334.0,338.9,271.36,158.0,222.52,227.74,24.0,41.76,45.47,12.0,26.24,33.13,47.6,49.06,19.59,42.1,42.08,16.11,395.0,481.0,352.5,1171.0,1335.24,1120.49,12.0,25.29,31.88,10.0,15.43,18.49,1.0,9.0,17.26,14.0,22.38,25.72,8.0,12.33,13.32,484.0,557.48,400.56,27.0,56.05,74.7,12.0,12.95,10.36,10.0,14.57,14.12,1.0,2.95,4.48,13.0,28.57,44.22,50.0,69.1,54.55,12.0,26.76,31.2,14.0,23.62,23.69,55.1,53.99,19.47
5,Brighton,24.52,26.04,5.17,20.0,18.96,9.76,9.0,13.36,9.87,895.5,1198.46,866.12,1.0,1.93,2.96,1.0,1.29,1.58,2.0,2.61,2.54,0.0,0.11,0.31,0.75,1.88,2.64,0.95,1.29,1.4,16.5,25.86,29.88,38.5,48.93,49.26,26.5,48.64,62.02,0.04,0.12,0.15,0.04,0.09,0.13,0.09,0.13,0.12,0.09,0.1,0.08,1.1,1.1,0.84,69.15,69.15,8.27,34.4,34.4,22.06,0.0,0.0,N/a,29.3,30.51,21.82,0.31,0.46,0.65,0.06,0.08,0.09,16.5,17.56,3.91,333.0,506.04,475.94,80.7,79.45,8.26,4728.0,8611.86,9051.48,90.9,89.52,6.17,82.1,81.34,10.68,53.0,54.33,15.78,9.0,11.71,9.99,21.5,37.93,47.64,7.5,10.79,10.39,1.0,2.82,3.77,38.5,48.93,49.26,23.5,29.61,23.48,2.81,2.5,1.23,3.0,3.46,2.92,0.29,0.3,0.28,16.5,22.11,19.24,10.0,13.46,11.71,17.5,22.46,18.49,9.0,11.61,9.12,12.0,14.0,12.06,2.0,3.89,5.33,9.0,10.11,9.75,8.5,10.0,9.56,630.0,757.39,610.24,22.5,83.04,190.6,118.0,241.46,318.67,227.0,328.79,319.41,147.0,195.61,177.31,17.0,34.0,41.84,12.0,26.21,31.65,41.5,44.62,21.6,47.9,47.1,20.72,367.5,445.29,381.58,1026.0,1340.14,1411.7,16.5,25.86,29.88,15.5,18.32,18.44,2.5,8.29,14.77,10.0,18.36,18.91,7.0,11.14,12.03,408.0,500.29,419.45,26.5,48.64,62.02,10.5,14.07,12.25,8.0,13.36,14.5,1.0,1.43,1.79,10.0,22.18,27.22,39.0,52.11,43.58,11.5,16.71,17.76,10.5,15.0,14.4,53.8,50.17,19.87
6,Chelsea,24.31,24.2,2.38,17.5,19.15,10.88,11.5,14.38,11.4,1046.5,1291.42,995.13,1.0,2.19,3.48,1.0,1.69,2.2,2.5,3.62,3.25,0.0,0.04,0.2,0.75,2.45,3.96,1.05,1.88,2.32,11.0,30.12,38.79,33.0,56.54,61.78,11.5,55.81,74.5,0.05,0.15,0.21,0.06,0.13,0.18,0.08,0.16,0.18,0.1,0.15,0.17,1.31,1.31,0.28,74.05,74.05,3.75,22.65,22.65,8.41,10.0,10.0,14.14,33.3,29.85,21.67,0.28,0.46,0.49,0.08,0.09,0.12,15.0,15.11,4.58,492.5,636.46,575.71,84.7,84.08,6.41,7569.5,11007.27,10339.85,91.9,91.07,5.66,90.7,88.48,7.28,58.05,57.18,17.87,6.5,16.27,20.95,27.0,52.77,57.37,4.0,12.65,16.89,0.0,2.69,5.35,33.0,56.54,61.78,15.0,37.81,45.69,1.83,2.33,1.66,2.5,3.92,4.52,0.2,0.26,0.25,11.0,20.0,23.23,8.5,12.5,14.41,11.5,18.69,21.9,5.5,9.35,11.53,9.0,12.0,12.96,1.5,3.58,5.49,5.5,8.42,9.5,7.0,9.38,11.01,713.5,882.96,749.41,19.5,81.96,174.11,123.5,263.62,324.63,254.5,398.92,405.24,91.5,227.73,254.27,11.5,39.5,49.93,13.0,27.12,33.08,44.25,46.31,20.2,40.0,38.6,23.28,399.0,513.73,414.77,1010.5,1451.77,1154.3,11.0,30.12,38.79,9.5,17.0,18.87,1.0,10.92,20.25,6.0,15.96,19.09,5.5,10.62,11.77,495.5,631.23,529.27,11.5,55.81,74.5,7.0,15.08,15.84,10.5,15.46,16.59,1.0,2.12,3.87,3.0,23.46,40.13,37.5,54.0,49.52,9.0,13.96,16.4,8.5,13.69,14.6,42.1,46.82,26.26
7,Crystal Palace,27.19,27.17,3.14,29.0,23.38,10.21,18.0,17.71,12.47,1562.0,1585.9,1047.05,0.0,1.86,3.37,1.0,1.52,2.09,2.0,3.48,3.25,0.0,0.19,0.4,1.0,2.44,3.34,1.2,1.88,2.11,11.0,21.1,21.89,46.0,48.67,38.25,10.0,48.19,62.81,0.0,0.09,0.13,0.03,0.06,0.08,0.08,0.14,0.14,0.11,0.1,0.07,1.38,1.38,N/a,66.9,66.9,N/a,29.4,29.4,N/a,50.0,50.0,N/a,33.3,30.12,18.02,0.34,0.5,0.47,0.0,0.06,0.09,17.7,18.14,5.67,511.0,504.38,382.23,75.6,74.23,6.96,8122.0,9060.9,7422.37,85.3,84.42,6.45,82.0,79.97,10.58,46.7,49.84,18.5,9.0,15.62,15.76,27.0,37.81,31.63,4.0,11.43,12.01,1.0,2.81,4.07,46.0,48.67,38.25,26.0,36.29,33.82,2.06,2.2,1.5,3.0,3.52,3.31,0.16,0.18,0.17,21.0,32.62,29.19,14.0,19.14,18.12,23.0,27.95,21.55,15.0,14.05,9.84,19.0,20.48,17.7,3.0,5.9,6.77,13.0,14.57,12.77,11.0,13.67,14.07,827.0,860.86,604.16,27.0,107.71,212.6,172.0,322.71,357.73,367.0,358.14,264.31,137.0,188.24,178.24,15.0,32.57,34.79,12.0,20.33,28.56,40.95,41.49,23.87,46.6,48.24,26.48,413.0,431.52,304.65,949.0,1055.0,767.83,11.0,21.1,21.89,10.0,15.0,13.66,1.0,5.19,7.51,14.0,21.0,20.38,13.0,14.38,14.11,510.0,499.67,342.67,10.0,48.19,62.81,12.0,17.62,15.85,18.0,17.24,14.97,1.0,3.14,4.91,11.0,25.43,31.19,60.0,70.86,52.54,17.0,21.67,21.55,19.0,27.14,24.63,43.4,41.18,18.61
